model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,v2,1,Care,label,0,3.537784084426031,3.537785683151342,0.9975766906697697,5,False,False,,True,,,label,0,,,add09e54f847dca8,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,v2,2,Care,label,0,3.189400736487365,3.189401487460402,0.9965585667002238,5,False,False,,True,,,label,0,,,d02b48f484c9fd49,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,v2,3,Care,label,0,3.545093425501312,3.5450944171330416,0.9981714635037928,5,False,False,,True,,,label,0,,,e77c696dedb9b296,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,v2,4,Care,label,0,3.725706856598606,3.725707950496111,0.9983511899112317,5,False,False,,True,,,label,0,,,dadf494a191d2f13,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,v2,5,Care,label,0,3.745132408142147,3.7451335392134335,0.9975773402614709,5,False,False,,True,,,label,0,,,0b9923ec57337d19,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,v2,6,Care,label,0,3.364261633213277,3.364263036086201,0.9962716955691926,5,False,False,,True,,,label,0,,,790adece3c4da7ab,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,v2,7,Care,label,0,3.809911101234078,3.8099122183446648,0.9982325145179722,5,False,False,,True,,,label,0,,,345d14a786ab109a,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,v2,8,Care,label,0,3.478540612262115,3.4785422863682607,0.9962067747240277,5,False,False,,True,,,label,0,,,5be4a442bb5edd86,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,v2,9,Care,label,0,3.7412164539846953,3.741217701696553,0.9976316912932718,5,False,False,,True,,,label,0,,,e7ce26205a7890a7,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,v2,10,Care,label,0,3.28906472610819,3.2890655911056537,0.997028115935502,5,False,False,,True,,,label,0,,,7373d2cc4d2c27d7,
