model,family,revision,item_id,foundation,condition,score,score_se,n_replicates,clifford_wrong_mean,logprob_mass,label_position,parse_strategy,token_boundary_clean,failure_type,cell_parse_rate,excluded,exclusion_reason
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,1,Care,greedy,4.0,,1,3.4,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,1,Care,label,3.9984284793358937,,1,3.4,0.9314178137725236,0,,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,1,Care,sampled,4.0,0.0,10,3.4,nan,,anchored,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,1,Care,string,2.480623130191829,,1,3.4,0.15390214081262035,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,2,Care,greedy,2.0,,1,2.4,nan,,scan,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,2,Care,label,1.2205116670790976,,1,2.4,0.42686376821149213,0,,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,2,Care,sampled,2.4285714285714284,0.42857142857142855,7,2.4,nan,,scan,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,2,Care,string,0.2700618951026141,,1,2.4,0.6984439740193843,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,3,Care,greedy,4.0,,1,3.0,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,3,Care,label,3.996422397498347,,1,3.0,0.942907628551423,0,,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,3,Care,sampled,4.0,0.0,9,3.0,nan,,anchored,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,3,Care,string,1.8233192961922,,1,3.0,0.08795582788769249,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,4,Care,greedy,2.0,,1,3.0,nan,,anchored,,ok,1.0,False,
