model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,1,Care,label,0,3.924036059180093,3.9192701764847926,0.8118086180058736,5,False,False,,True,,,label,0,,,9bc5fc27275971d5,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,2,Care,label,0,1.1986901894749744,1.2220686494536155,0.7781196124611437,5,False,False,,True,,,label,0,,,df732914568b25fb,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,3,Care,label,0,3.3894972053140866,3.3849884718245344,0.7951347647456514,5,False,False,,True,,,label,0,,,abd2784b2dd6100c,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,4,Care,label,0,1.849478606372269,1.8702765758425202,0.7641367443104004,5,False,False,,True,,,label,0,,,228a3955ad486303,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,5,Care,label,0,2.991193711357307,2.9909998431139635,0.7911846315245992,5,False,False,,True,,,label,0,,,2cffe71f75d71886,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,6,Care,label,0,1.4629747979653496,1.4843241841632802,0.7552664478984928,5,False,False,,True,,,label,0,,,67722957b446b2d5,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,7,Care,label,0,3.758205629399935,3.7553842571304625,0.7771111656543218,5,False,False,,True,,,label,0,,,4bb6fb2980daa1fb,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,8,Care,label,0,3.5297236516475694,3.508206034531608,0.775028534090884,5,False,False,,True,,,label,0,,,c66ace77278be59d,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,9,Care,label,0,3.32886131499614,3.331090001462605,0.7935761563721941,5,False,False,,True,,,label,0,,,5a259d8996ffdb9f,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,10,Care,label,0,3.1653057466575287,3.164326183835893,0.7854623767638325,5,False,False,,True,,,label,0,,,7909cb379fb01116,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,11,Care,label,0,3.906589403808314,3.9022836998351833,0.769716405788665,5,False,False,,True,,,label,0,,,3bad5950d50518a4,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,12,Care,label,0,3.4303782091139934,3.4246678199971297,0.8123572669147849,5,False,False,,True,,,label,0,,,80b59a19b9180b6c,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,13,Care,label,0,2.3550420388489197,2.3718370569332934,0.7402733082826796,5,False,False,,True,,,label,0,,,779c897282314d2a,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,14,Care,label,0,1.4517704060659273,1.4699849394125863,0.7965539633359706,5,False,False,,True,,,label,0,,,ceaaaf973cbb5a85,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,15,Care,label,0,2.121138263053603,2.1432172212065552,0.7762123233057459,5,False,False,,True,,,label,0,,,2aab20e73925b47c,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,16,Care,label,0,3.175231042428397,3.17440273437276,0.796192689506747,5,False,False,,True,,,label,0,,,9617af11e6047659,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,17,Fairness,label,0,3.9306513265407905,3.926256659111044,0.7888492430826242,5,False,False,,True,,,label,0,,,ebc9084da52b29a2,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,18,Fairness,label,0,3.789953790570363,3.7822365490518575,0.7735120778183403,5,False,False,,True,,,label,0,,,7871c6e6b85ba39a,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,19,Fairness,label,0,3.0878325567448424,3.0962617502757395,0.7291354446097417,5,False,False,,True,,,label,0,,,3f5299718ec65e18,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,20,Fairness,label,0,2.11254484215517,2.1357187362435717,0.7444151983270526,5,False,False,,True,,,label,0,,,aa1ae4c425da7bae,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,21,Fairness,label,0,3.3716934327634656,3.3711383573957705,0.7814130224112487,5,False,False,,True,,,label,0,,,67a79e951190aa1d,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,22,Fairness,label,0,3.9599969560234,3.9580675027641403,0.8398771311794381,5,False,False,,True,,,label,0,,,eef793ad8208aa75,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,23,Fairness,label,0,3.9386907262985384,3.9354888598629265,0.788249133686033,5,False,False,,True,,,label,0,,,93d692672f2bc9ab,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,24,Fairness,label,0,3.2910090236643046,3.299614127055216,0.7570710539935736,5,False,False,,True,,,label,0,,,541f4fddf0470dcd,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,25,Fairness,label,0,3.6989149969915953,3.6904944865412452,0.7552496115437585,5,False,False,,True,,,label,0,,,efb45d031bc93e53,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,26,Fairness,label,0,3.5293509689547387,3.5175589794788995,0.7704845917562974,5,False,False,,True,,,label,0,,,4459078a67d71ad8,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,27,Fairness,label,0,3.4561471853355097,3.451601516711368,0.794678519716616,5,False,False,,True,,,label,0,,,9c5263aad24ec91c,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,28,Fairness,label,0,3.4788471106534007,3.4755043935418586,0.7762597253982968,5,False,False,,True,,,label,0,,,7660fc980efce6ac,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,29,Fairness,label,0,2.3909695677210347,2.42501413301599,0.7829704399565143,5,False,False,,True,,,label,0,,,d34f78e43e43ea95,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,30,Fairness,label,0,3.6220401830416127,3.626511988168441,0.7856753610139684,5,False,False,,True,,,label,0,,,09a6bfd12f79cbae,
mistralai/Mistral-Small-24B-Instruct-2501,9527884be6e5616bdd54de542f9ae13384489724,v2,31,Fairness,label,0,3.867864672421144,3.8615903095347157,0.7765561397845996,5,False,False,,True,,,label,0,,,bb773d0e3a7e07b9,
