model,revision,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,seed,prompt_sha,raw_output
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,1,Care,label,0,3.4647488100732926,,0.9976004540019465,5,False,False,,,19,,add09e54f847dca8,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,2,Care,label,0,3.1894014856810586,,0.9963026380676945,5,False,False,,,18,,d02b48f484c9fd49,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,3,Care,label,0,3.508667027848609,,0.9983238848209938,5,False,False,,,19,,e77c696dedb9b296,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,4,Care,label,0,3.6970963093273737,,0.9981468013415487,5,False,False,,,19,,dadf494a191d2f13,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,5,Care,label,0,3.739467229654787,,0.9972160967105003,5,False,False,,,19,,0b9923ec57337d19,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,6,Care,label,0,3.39937554671532,,0.9963730652760302,5,False,False,,,19,,790adece3c4da7ab,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,7,Care,label,0,3.7906540481836326,,0.9983528942001577,5,False,False,,,19,,345d14a786ab109a,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,8,Care,label,0,3.378099166100747,,0.9956246724617639,5,False,False,,,19,,5be4a442bb5edd86,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,9,Care,label,0,3.68224678892591,,0.9975604414864194,5,False,False,,,19,,e7ce26205a7890a7,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,10,Care,label,0,3.2316307257925696,,0.9971240140413611,5,False,False,,,18,,7373d2cc4d2c27d7,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,1,Care,string,0,2.6063021608788723,3.268897499654735,0.14641671053726402,5,False,False,,True,,,add09e54f847dca8,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,2,Care,string,0,2.36241311950236,3.1699157327330223,0.1745132119942841,5,False,False,,True,,,d02b48f484c9fd49,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,3,Care,string,0,2.619484807734203,3.322855618576551,0.12738431370209616,5,False,False,,True,,,e77c696dedb9b296,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,4,Care,string,0,2.6856742451367484,3.3708167782439062,0.12070602258762962,5,False,False,,True,,,dadf494a191d2f13,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,5,Care,string,0,2.8094582934936465,3.4067918293738937,0.13829601978331052,5,False,False,,True,,,0b9923ec57337d19,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,6,Care,string,0,2.523442410927706,3.257076416704698,0.18629192201662845,5,False,False,,True,,,790adece3c4da7ab,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,7,Care,string,0,2.8146748001993838,3.4656309327193586,0.12643408833604475,5,False,False,,True,,,345d14a786ab109a,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,8,Care,string,0,2.6029637854010446,3.2772686908151707,0.17857487639216654,5,False,False,,True,,,5be4a442bb5edd86,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,9,Care,string,0,2.6612234779867197,3.3260378604016476,0.1331353576863196,5,False,False,,True,,,e7ce26205a7890a7,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,10,Care,string,0,2.5182179818026347,3.217905144248779,0.1628372287339385,5,False,False,,True,,,7373d2cc4d2c27d7,
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,1,Care,greedy,0,4.0,,nan,1,False,False,anchored,,,,add09e54f847dca8,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,2,Care,greedy,0,3.0,,nan,1,False,False,anchored,,,,d02b48f484c9fd49,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,3,Care,greedy,0,4.0,,nan,1,False,False,anchored,,,,e77c696dedb9b296,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,4,Care,greedy,0,4.0,,nan,1,False,False,anchored,,,,dadf494a191d2f13,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,5,Care,greedy,0,4.0,,nan,1,False,False,anchored,,,,0b9923ec57337d19,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,6,Care,greedy,0,4.0,,nan,1,False,False,anchored,,,,790adece3c4da7ab,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,7,Care,greedy,0,4.0,,nan,1,False,False,anchored,,,,345d14a786ab109a,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,8,Care,greedy,0,4.0,,nan,1,False,False,anchored,,,,5be4a442bb5edd86,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,9,Care,greedy,0,4.0,,nan,1,False,False,anchored,,,,e7ce26205a7890a7,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,10,Care,greedy,0,3.0,,nan,1,False,False,anchored,,,,7373d2cc4d2c27d7,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,1,Care,sampled,0,4.0,,nan,1,False,False,anchored,,,0,add09e54f847dca8,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,2,Care,sampled,0,4.0,,nan,1,False,False,anchored,,,0,d02b48f484c9fd49,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,3,Care,sampled,0,3.0,,nan,1,False,False,anchored,,,0,e77c696dedb9b296,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,4,Care,sampled,0,4.0,,nan,1,False,False,anchored,,,0,dadf494a191d2f13,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,5,Care,sampled,0,4.0,,nan,1,False,False,anchored,,,0,0b9923ec57337d19,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,6,Care,sampled,0,3.0,,nan,1,False,False,anchored,,,0,790adece3c4da7ab,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,7,Care,sampled,0,4.0,,nan,1,False,False,anchored,,,0,345d14a786ab109a,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,8,Care,sampled,0,3.0,,nan,1,False,False,anchored,,,0,5be4a442bb5edd86,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,9,Care,sampled,0,4.0,,nan,1,False,False,anchored,,,0,e7ce26205a7890a7,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,10,Care,sampled,0,4.0,,nan,1,False,False,anchored,,,0,7373d2cc4d2c27d7,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,1,Care,sampled,1,2.0,,nan,1,False,False,anchored,,,1,add09e54f847dca8,2: Somewhat wrong
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,2,Care,sampled,1,3.0,,nan,1,False,False,anchored,,,1,d02b48f484c9fd49,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,3,Care,sampled,1,3.0,,nan,1,False,False,anchored,,,1,e77c696dedb9b296,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,4,Care,sampled,1,4.0,,nan,1,False,False,anchored,,,1,dadf494a191d2f13,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,5,Care,sampled,1,4.0,,nan,1,False,False,anchored,,,1,0b9923ec57337d19,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,6,Care,sampled,1,3.0,,nan,1,False,False,anchored,,,1,790adece3c4da7ab,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,7,Care,sampled,1,4.0,,nan,1,False,False,anchored,,,1,345d14a786ab109a,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,8,Care,sampled,1,3.0,,nan,1,False,False,anchored,,,1,5be4a442bb5edd86,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,9,Care,sampled,1,4.0,,nan,1,False,False,anchored,,,1,e7ce26205a7890a7,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,10,Care,sampled,1,3.0,,nan,1,False,False,anchored,,,1,7373d2cc4d2c27d7,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,1,Care,sampled,2,3.0,,nan,1,False,False,anchored,,,2,add09e54f847dca8,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,2,Care,sampled,2,4.0,,nan,1,False,False,anchored,,,2,d02b48f484c9fd49,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,3,Care,sampled,2,4.0,,nan,1,False,False,anchored,,,2,e77c696dedb9b296,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,4,Care,sampled,2,4.0,,nan,1,False,False,anchored,,,2,dadf494a191d2f13,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,5,Care,sampled,2,4.0,,nan,1,False,False,anchored,,,2,0b9923ec57337d19,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,6,Care,sampled,2,4.0,,nan,1,False,False,anchored,,,2,790adece3c4da7ab,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,7,Care,sampled,2,4.0,,nan,1,False,False,anchored,,,2,345d14a786ab109a,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,8,Care,sampled,2,3.0,,nan,1,False,False,anchored,,,2,5be4a442bb5edd86,3
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,9,Care,sampled,2,4.0,,nan,1,False,False,anchored,,,2,e7ce26205a7890a7,4
Qwen/Qwen2.5-1.5B-Instruct,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,10,Care,sampled,2,4.0,,nan,1,False,False,anchored,,,2,7373d2cc4d2c27d7,4
