model,revision,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,seed,prompt_sha,raw_output
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,1,Care,label,0,nan,,0.0,0,False,True,,,29871,,ee41ae8ccaa8735c, 
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,2,Care,label,0,nan,,0.0,0,False,True,,,29871,,ffccdcdefe5f4e93, 
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,3,Care,label,0,nan,,0.0,0,False,True,,,29871,,1baa03d52d052185, 
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,4,Care,label,0,nan,,0.0,0,False,True,,,29871,,a625436693b6ad2f, 
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,5,Care,label,0,nan,,0.0,0,False,True,,,29871,,4ae19a50ed35f5e1, 
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,6,Care,label,0,nan,,0.0,0,False,True,,,29871,,7debdfdf33d44e31, 
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,7,Care,label,0,nan,,0.0,0,False,True,,,29871,,61fd86628c47bd89, 
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,8,Care,label,0,nan,,0.0,0,False,True,,,29871,,65dbdcd08185bed8, 
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,9,Care,label,0,nan,,0.0,0,False,True,,,29871,,8ebeb15dbc102604, 
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,10,Care,label,0,nan,,0.0,0,False,True,,,29871,,a03d8117555d9979, 
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,11,Care,label,0,nan,,0.0,0,False,True,,,29871,,50129cc83d588d79, 
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,12,Care,label,0,nan,,0.0,0,False,True,,,29871,,cde5cd4d9ad99e9d, 
