model,revision,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,seed,prompt_sha,raw_output
Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,1,Care,label,0,3.0600866501605952,,0.9999999743679677,5,False,False,,,18,,add09e54f847dca8,3
Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,2,Care,label,0,1.9998769056193406,,0.9999999917625314,4,False,False,,,17,,d02b48f484c9fd49,2
Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,3,Care,label,0,3.0000847975605835,,0.9999999546850057,4,False,False,,,18,,e77c696dedb9b296,3
Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,4,Care,label,0,2.989013060250504,,0.9999999086495261,4,False,False,,,18,,dadf494a191d2f13,3
Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,5,Care,label,0,3.0040700904851576,,1.000000085266798,5,False,False,,,18,,0b9923ec57337d19,3
Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,6,Care,label,0,1.1008008369348892,,0.9999997411358473,5,False,False,,,17,,790adece3c4da7ab,2
Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,7,Care,label,0,3.0000660449367635,,1.0000000217868092,4,False,False,,,18,,345d14a786ab109a,3
Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,8,Care,label,0,3.0758581691609783,,0.9999999806556515,5,False,False,,,18,,5be4a442bb5edd86,3
Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,9,Care,label,0,2.9998770502921355,,0.9999999965375246,4,False,False,,,18,,e7ce26205a7890a7,3
Qwen/Qwen2.5-7B-Instruct,a09a35458c702b33eeacc393d103063234e8bc28,10,Care,label,0,3.119202915736654,,0.9999999606917257,5,False,False,,,18,,7373d2cc4d2c27d7,3
