model,revision,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,seed,prompt_sha,raw_output
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,1,Care,label,0,3.435465478240903,,0.9950694966112622,4,False,False,,,18,,8a756e34c63ff984,3
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,2,Care,label,0,1.1682991901247388,,0.9650881163648197,5,False,False,,,16,,c37c3c695a1335ff,1
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,3,Care,label,0,3.2623865964341303,,0.9943031057911789,4,False,False,,,18,,745ff084e0862c94,3
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,4,Care,label,0,2.5804462393119754,,0.9805635516578266,4,False,False,,,18,,46583b61969ff440,3
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,5,Care,label,0,3.3102222871542892,,0.9942745092261146,5,False,False,,,18,,97a72dcc94b719b7,3
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,6,Care,label,0,0.8557355227356256,,0.9601873751016514,5,False,False,,,15,,cf4be5f36871b5f9,0
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,7,Care,label,0,3.184996679155157,,0.9890458852436785,4,False,False,,,18,,50304a9c4bbebb46,3
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,8,Care,label,0,3.310407875280461,,0.9953632330832735,4,False,False,,,18,,5d853a1469206392,3
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,9,Care,label,0,3.1642297276299103,,0.9909582048798286,4,False,False,,,18,,c4fb8bdb793fb5d0,3
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,10,Care,label,0,3.2087223838309287,,0.9938983884476016,4,False,False,,,18,,76afc26183412454,3
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,11,Care,label,0,3.6221587288217516,,0.9967589000998318,4,False,False,,,19,,0225af04633f92ec,4
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,12,Care,label,0,2.9246797404854012,,0.9888772245392283,4,False,False,,,18,,1c672ae9ccdaa427,3
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,13,Care,label,0,3.177013701889111,,0.9957550341380488,4,False,False,,,18,,6a7a5d1330637cb2,3
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,14,Care,label,0,2.660128257695023,,0.9658826371284689,5,False,False,,,18,,1e3d4feb40fe55ed,3
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,15,Care,label,0,2.7407183900512586,,0.9695753836599917,5,False,False,,,18,,fd463d2673099bfb,3
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,16,Care,label,0,2.586707702779471,,0.9597613948653719,5,False,False,,,18,,443981e72c79ed69,3
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,17,Fairness,label,0,3.6221797722074283,,0.9968850599828504,4,False,False,,,19,,436466d7f2295cc8,4
