model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,1,Care,label,0,3.999975035774206,3.999975035774206,0.999911423284678,5,False,False,,True,,,label,0,,,add09e54f847dca8,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,2,Care,label,0,2.835607113404156,2.835607113404165,0.9995415899192267,5,False,False,,True,,,label,0,,,d02b48f484c9fd49,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,3,Care,label,0,3.3207530457816876,3.320753045781686,0.99981319711202,5,False,False,,True,,,label,0,,,e77c696dedb9b296,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,4,Care,label,0,2.992490492003055,2.9924904920030544,0.9990312368561746,5,False,False,,True,,,label,0,,,dadf494a191d2f13,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,5,Care,label,0,3.118776587894407,3.118776587894406,0.9998119827975137,5,False,False,,True,,,label,0,,,0b9923ec57337d19,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,6,Care,label,0,2.182182370989351,2.1821823709893513,0.9987926354951764,5,False,False,,True,,,label,0,,,790adece3c4da7ab,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,7,Care,label,0,3.9993714015560897,3.9993714015560897,0.9998838205635247,5,False,False,,True,,,label,0,,,345d14a786ab109a,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,8,Care,label,0,3.9968223106856002,3.9968223106856002,0.9998106528120407,5,False,False,,True,,,label,0,,,5be4a442bb5edd86,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,9,Care,label,0,3.131069208834387,3.1310692088343863,0.999634799043658,5,False,False,,True,,,label,0,,,e7ce26205a7890a7,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,10,Care,label,0,3.9997939305673995,3.9997939305673995,0.9998801665986645,5,False,False,,True,,,label,0,,,7373d2cc4d2c27d7,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,11,Care,label,0,3.999902929462497,3.999902929462497,0.9998824186128008,5,False,False,,True,,,label,0,,,15c66492ec351920,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,12,Care,label,0,3.8518313972073828,3.851831397207382,0.9995841715796893,5,False,False,,True,,,label,0,,,96a5e8d58cc271a5,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,13,Care,label,0,2.0644404546195494,2.0644404546195583,0.9987460410269953,5,False,False,,True,,,label,0,,,385dff2177d66657,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,14,Care,label,0,2.891590678894793,2.8915906788947954,0.9969186563746393,5,False,False,,True,,,label,0,,,bbb67b2a11cd6d48,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,15,Care,label,0,2.0308296835821773,2.0308296835821777,0.9979427219309618,5,False,False,,True,,,label,0,,,b5ac1afe2446645a,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,16,Care,label,0,2.3478027629280196,2.347802762928022,0.9992132936707194,5,False,False,,True,,,label,0,,,74dd84997245ee1f,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,17,Fairness,label,0,3.996825207951344,3.996825207951344,0.9999021787326072,5,False,False,,True,,,label,0,,,081bbdeb27c9d9ba,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,18,Fairness,label,0,3.3183017593917823,3.3183017593917823,0.9993963401282202,5,False,False,,True,,,label,0,,,8f864c44ad7b8898,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,19,Fairness,label,0,2.9847297821658043,2.9847297821658048,0.9990577564757677,5,False,False,,True,,,label,0,,,c3b9a40c082b9de1,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,20,Fairness,label,0,2.0910985771948742,2.091098577194874,0.9987604243569794,5,False,False,,True,,,label,0,,,3918ce1d488b140f,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,21,Fairness,label,0,3.222379831767305,3.222379831767304,0.999429832542503,5,False,False,,True,,,label,0,,,e7dbcc1c43407f04,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,22,Fairness,label,0,3.9999676102116846,3.9999676102116846,0.9998129107700249,5,False,False,,True,,,label,0,,,c11a4afee3b09914,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,23,Fairness,label,0,3.9999471549358256,3.9999471549358256,0.9998181203908715,5,False,False,,True,,,label,0,,,4db4f9d71823acc3,
Qwen/Qwen2-7B-Instruct,f2826a00ceef68f0f2b946d945ecc0477ce4450c,v2,24,Fairness,label,0,3.145625968688995,3.1456259686889947,0.9992258341786845,5,False,False,,True,,,label,0,,,42f0ae82fc584562,
