questionnaire_item_id,question_content
1,You see a teenage boy chuckling at an amputee he passes by while on the subway.
2,You see a girl laughing at another student forgetting her lines at a school play.
3,You see a woman commenting out loud about how fat another woman looks in her jeans.
4,You see a man quickly canceling a blind date as soon as he sees the woman.
5,You see a boy telling a woman that she looks just like her overweight bulldog.
6,You see a girl laughing when she realizes her friend's dad is the janitor.
7,You see a man snickering as he passes by a cancer patient with a bald head.
8,You see a girl saying that another girl is too ugly to be a varsity cheerleader.
9,You see a teenage girl openly staring at a disfigured woman as she walks past.
10,You see a boy making fun of his brother for getting dumped by his girlfriend.
11,You see a man laughing at a disabled co-worker while at an office softball game.
12,You see a man loudly telling his wife that the dinner she cooked tastes awful.
13,You see a man telling a woman that her painting looks like it was done by children.
14,You see a woman clearly avoiding sitting next to an obese woman on the bus.
15,You see a girl telling a boy that his older brother is much more attractive than him.
16,You see a girl telling her classmate that she looks like she has gained weight.
17,You see a student copying a classmate's answer sheet on a makeup final exam.
18,You see a runner taking a shortcut on the course during the marathon in order to win.
19,You see a tenant bribing a landlord to be the first to get their apartment repainted.
20,You see a soccer player pretending to be seriously fouled by an opposing player.
21,You see someone cheating in a card game while playing with a group of strangers.
22,You see a professor giving a bad grade to a student just because he dislikes him.
23,You see a referee intentionally making bad calls that help his favored team win.
24,"You see a manager taking half the doughnuts from a box, leaving little for others."
25,You see a judge taking on a criminal case although he is friends with the defendant.
26,You see a student getting an A on a group project when he didn't do his part.
27,You see an employee lying about how many hours she worked during the week.
28,You see a woman getting hired only because her father is close friends with the boss.
29,You see a girl asking for allowance even though her brother did her chores for her.
30,"You see a girl taking all the Halloween candy from a bowl, leaving none for others."
31,You see a politician using federal tax dollars to build an extension on his home.
32,You see a boy skipping to the front of the line because his friend is an employee.
33,You see a woman lying about the number of vacation days she has taken at work.
34,You see an employee joking with competitors about how bad his company did last year.
35,You see a coach celebrating with the opposing team's players who just won the game.
36,You see a former US General saying publicly he would never buy any American product.
37,You see a mayor saying that the neighboring town is a much better town.
38,You see the US Ambassador joking in Great Britain about the stupidity of Americans.
39,You see a man leaving his family business to go work for their main competitor.
40,You see a teacher publicly saying she hopes another school wins the math contest.
41,You see a head cheerleader booing her high school's team during a homecoming game.
42,You see the class president saying on TV that her rival college is a better school.
43,You see a Hollywood star agreeing with a foreign dictator's denunciation of the US.
44,You see a college president singing a rival school's fight song during a pep rally.
45,You see a man secretly voting against his wife in a local beauty pageant.
46,You see an American telling foreigners that the US is an evil force in the world.
47,You see the coach's wife sponsoring a bake sale for her husband's rival team.
48,You see a former Secretary of State publicly giving up his citizenship to the US.
