model,revision,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,seed,prompt_sha,raw_output
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,1,Care,label,0,3.145763076127181,,0.34447798933696855,5,False,False,,,2,,bbb0fb9221ec85d2,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,2,Care,label,0,2.1266020717042924,,0.3212581467120209,5,False,False,,,2,,f84b1afe53bdc797,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,3,Care,label,0,2.722513980596367,,0.3580315770391641,5,False,False,,,2,,c6279c6c4b85687f,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,4,Care,label,0,2.5543649563379365,,0.33057225697780007,5,False,False,,,2,,6372bac9c21722cc,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,5,Care,label,0,3.0505740840057265,,0.3759897334678656,5,False,False,,,2,,c1788f291dce7241,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,6,Care,label,0,1.833577220922497,,0.2878545068590251,5,False,False,,,2,,9b89debcaf32de8a,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,7,Care,label,0,2.7805047979757576,,0.33933137552403847,5,False,False,,,2,,981264b38e7fd95c,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,8,Care,label,0,3.0028356177676794,,0.40692223864733956,5,False,False,,,2,,024c154729c38f50,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,9,Care,label,0,2.520564881722608,,0.33344049959953703,5,False,False,,,2,,cdb718f35a0ef7dc,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,10,Care,label,0,2.5549825773004744,,0.32185785504399467,5,False,False,,,2,,cccde8a093064e58,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,11,Care,label,0,2.9195359575774456,,0.3982680845248471,5,False,False,,,2,,54e27849987a0722,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,12,Care,label,0,2.6894559630406856,,0.33599842184857226,5,False,False,,,2,,4ed58206ac552531,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,13,Care,label,0,2.5189343806925995,,0.35963623906829706,5,False,False,,,2,,77d7fe1ad4d67533,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,14,Care,label,0,2.1779727409729635,,0.3080308413034403,5,False,False,,,2,,ae327dccefd74bb9,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,15,Care,label,0,2.4324549589497995,,0.33700653488042237,5,False,False,,,2,,a22be2315a093d2e,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,16,Care,label,0,2.5089206511594795,,0.37806578180671324,5,False,False,,,2,,5fea24ed91ecd8c0,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,17,Fairness,label,0,2.908056075336335,,0.39737807216230764,5,False,False,,,2,,fbb6d4200856152a,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,18,Fairness,label,0,2.7680023311854733,,0.3884529876877555,5,False,False,,,2,,47f848274ac0d191,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,19,Fairness,label,0,2.8591535135675,,0.35428930523282026,5,False,False,,,2,,0ebf87d55515413a,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,20,Fairness,label,0,2.393825288956841,,0.3210414601823278,5,False,False,,,2,,c875f8564da6ec6c,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,21,Fairness,label,0,2.7233478716484347,,0.3293069030637524,5,False,False,,,2,,e7efac1cf1c50bef,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,22,Fairness,label,0,2.886140457480036,,0.3771347791750266,5,False,False,,,2,,c90b37ebfd1cefd7,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,23,Fairness,label,0,2.995074884731734,,0.38468074734026964,5,False,False,,,2,,01a4a36a3c1f41ac,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,24,Fairness,label,0,2.778999544214727,,0.3862786284937941,5,False,False,,,2,,5ba3d3b877305ea3,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,25,Fairness,label,0,2.7384625562058416,,0.35448286968616477,5,False,False,,,2,,9f4615b83639bacc,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,26,Fairness,label,0,2.418779292588551,,0.361503807316536,5,False,False,,,2,,dbfac1f48902e36f,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,27,Fairness,label,0,2.7173033141971086,,0.3731374101608229,5,False,False,,,2,,9b8b31b6c71c85cc,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,28,Fairness,label,0,2.977986684983098,,0.35603983177024834,5,False,False,,,2,,0b91943257d28694,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,29,Fairness,label,0,2.1404316900947564,,0.3363541258061626,5,False,False,,,2,,15a8ad610710b86c,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,30,Fairness,label,0,2.8089851532771526,,0.35489100936305945,5,False,False,,,2,,5939a81bcdcaaf67,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,31,Fairness,label,0,2.755883646077457,,0.33593002403865996,5,False,False,,,2,,5f3f6d79b2b80cdf,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,32,Fairness,label,0,2.3547802589975357,,0.3108647997650683,5,False,False,,,2,,5a96d4afe92d65a6,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,33,Fairness,label,0,2.532841072407714,,0.35002775752056425,5,False,False,,,2,,905c623454dc847d,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,34,Loyalty,label,0,2.3852421517247664,,0.3799821588779331,5,False,False,,,2,,db4b91ca91279c6b,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,35,Loyalty,label,0,2.1539989632278806,,0.35657206151657517,5,False,False,,,2,,498f9be53a638b02,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,36,Loyalty,label,0,2.447967617817494,,0.3373872777782169,5,False,False,,,2,,964b0553deacf23b,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,37,Loyalty,label,0,2.049241940410633,,0.321366744796158,5,False,False,,,2,,90b97f2777b7315b,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,38,Loyalty,label,0,2.5694005417025068,,0.32940770587778034,5,False,False,,,2,,796d6a3769daa2c0,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,39,Loyalty,label,0,2.282023453724905,,0.33954568730080265,5,False,False,,,2,,327594eb3679a8e3,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,40,Loyalty,label,0,2.37262937238436,,0.34943573772207365,5,False,False,,,2,,50b708cf39e4f91c,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,41,Loyalty,label,0,2.352323182352373,,0.3578337111857435,5,False,False,,,2,,17b36d98b1b634fc,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,42,Loyalty,label,0,2.101831676569485,,0.3307267169715653,5,False,False,,,2,,6158394f10315a1a,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,43,Loyalty,label,0,2.448378596664166,,0.319528347469074,5,False,False,,,2,,804aafc539c0d5ee,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,44,Loyalty,label,0,2.332013639865605,,0.309874965967331,5,False,False,,,2,,be39d05d72d662b9,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,45,Loyalty,label,0,2.6454246588410686,,0.3324521873551691,5,False,False,,,2,,8d0a12f6f39627a1,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,46,Loyalty,label,0,2.5675701564743867,,0.3306113214209331,5,False,False,,,2,,0c7ddfa352428959,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,47,Loyalty,label,0,2.232979710443482,,0.29046428426742266,5,False,False,,,2,,490b11a196e22d5b,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,48,Loyalty,label,0,2.346011236401214,,0.30252366051402324,5,False,False,,,2,,8020ba6be2bac526,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,49,Loyalty,label,0,2.461451531117788,,0.30954906632152024,5,False,False,,,2,,c75819a9282225e2,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,50,Authority,label,0,2.351669120797669,,0.32370183390073554,5,False,False,,,2,,b32c98a6b12cd155,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,51,Authority,label,0,2.316941380587704,,0.3110921633464626,5,False,False,,,2,,076807fefba6df54,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,52,Authority,label,0,2.404649877626812,,0.3586764456902626,5,False,False,,,2,,6f1b3bbe1fee7ece,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,53,Authority,label,0,2.6041140795861724,,0.34601589911684105,5,False,False,,,2,,966da2b1dda85511,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,54,Authority,label,0,2.227911426748094,,0.35328832175851227,5,False,False,,,2,,6f9fd514f5a39950,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,55,Authority,label,0,2.1656096997661827,,0.33045555262603715,5,False,False,,,2,,f770043e5bd87834,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,56,Authority,label,0,2.519109370770679,,0.38301467783690907,5,False,False,,,2,,eca2dedb8e45150f,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,57,Authority,label,0,2.182621319831586,,0.2882739151046057,5,False,False,,,2,,f1f586be1763c3ca,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,58,Authority,label,0,2.6583236254613083,,0.35124466715922553,5,False,False,,,2,,d880ae57c7f91ffd,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,59,Authority,label,0,2.765278469719699,,0.372911157106215,5,False,False,,,2,,5b7052ad3049064b,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,60,Authority,label,0,2.3296780009149893,,0.37407057719522646,5,False,False,,,2,,1a4a6f08cc43acbe,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,61,Authority,label,0,2.039305171070864,,0.2705056959031582,5,False,False,,,2,,03c872e1a289972f,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,62,Authority,label,0,2.4644734915418987,,0.3822564879982402,5,False,False,,,2,,a849e52f43f13c65,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,63,Authority,label,0,2.6499058117550915,,0.355169080494961,5,False,False,,,2,,8d31455b548dbbcf,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,64,Authority,label,0,2.396819898932301,,0.3163577711837787,5,False,False,,,2,,95cd6fbd10b8507d,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,65,Authority,label,0,2.1838458139164953,,0.2886584578983362,5,False,False,,,2,,a065f08034b6d784,
