model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
allenai/OLMo-2-0325-32B-Instruct,b96024342a77a69aa0dda815c3454a671f477463,v2,1,Care,label,0,3.0106414488510493,3.010641397294043,0.9981996675048566,5,False,False,,True,,,label,0,,,44642b1e52ff3e79,
allenai/OLMo-2-0325-32B-Instruct,b96024342a77a69aa0dda815c3454a671f477463,v2,2,Care,label,0,2.537703030969228,2.537702956327627,0.9969690424700239,5,False,False,,True,,,label,0,,,1913a7d03af1ff88,
allenai/OLMo-2-0325-32B-Instruct,b96024342a77a69aa0dda815c3454a671f477463,v2,3,Care,label,0,3.0649620755228435,3.0649618663038987,0.9981739217325151,5,False,False,,True,,,label,0,,,a2d3b6daf453e8b6,
allenai/OLMo-2-0325-32B-Instruct,b96024342a77a69aa0dda815c3454a671f477463,v2,4,Care,label,0,2.4566045941222585,2.4566042495714115,0.9950497378106746,5,False,False,,True,,,label,0,,,5e96c369f81eb79f,
allenai/OLMo-2-0325-32B-Instruct,b96024342a77a69aa0dda815c3454a671f477463,v2,5,Care,label,0,2.2914247937944694,2.2914247266085033,0.996954662354271,5,False,False,,True,,,label,0,,,40bade8087ef10f8,
allenai/OLMo-2-0325-32B-Instruct,b96024342a77a69aa0dda815c3454a671f477463,v2,6,Care,label,0,2.114329757856044,2.1143296415971102,0.9957609278100766,5,False,False,,True,,,label,0,,,8c67f566fd720c90,
allenai/OLMo-2-0325-32B-Instruct,b96024342a77a69aa0dda815c3454a671f477463,v2,7,Care,label,0,3.1889160062613664,3.1889158271329907,0.9979727622705017,5,False,False,,True,,,label,0,,,1fe426dc82b973a8,
allenai/OLMo-2-0325-32B-Instruct,b96024342a77a69aa0dda815c3454a671f477463,v2,8,Care,label,0,2.985548881750927,2.985548760961681,0.9983886556163737,5,False,False,,True,,,label,0,,,706f3972748399bc,
allenai/OLMo-2-0325-32B-Instruct,b96024342a77a69aa0dda815c3454a671f477463,v2,9,Care,label,0,2.839704968512384,2.839704871056037,0.9974890220645215,5,False,False,,True,,,label,0,,,3890a213cc933cad,
allenai/OLMo-2-0325-32B-Instruct,b96024342a77a69aa0dda815c3454a671f477463,v2,10,Care,label,0,2.781471981745018,2.7814718605309077,0.9976773327033692,5,False,False,,True,,,label,0,,,0fd683ed20bb6ac5,
