model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,1,Care,label,0,3.8175743097253494,3.8175743097253494,0.9986029940747692,5,False,False,,True,,,label,0,,,44df89a8f1990f93,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,2,Care,label,0,2.997861774938739,2.997861774938739,0.9987526061086661,5,False,False,,True,,,label,0,,,d9378175e84f9fc7,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,3,Care,label,0,3.037325737180987,3.037325737180987,0.9996843840673953,5,False,False,,True,,,label,0,,,ce3245853af157ac,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,4,Care,label,0,2.0229119375144493,2.0229119375144493,0.9826106533570897,5,False,False,,True,,,label,0,,,10b4259197d43e5f,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,5,Care,label,0,3.1329636933451597,3.1329636933451597,0.9981629460974506,5,False,False,,True,,,label,0,,,f3bc0306a8cb566b,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,6,Care,label,0,1.2318239098729362,1.2318239098729362,0.9646047069994015,5,False,False,,True,,,label,0,,,a54e82603681a52f,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,7,Care,label,0,3.6513544330374326,3.6513544330374326,0.9984129087280218,5,False,False,,True,,,label,0,,,8fb44eba871acc3a,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,8,Care,label,0,3.0600863713545836,3.0600863713545836,0.9990633634101834,5,False,False,,True,,,label,0,,,262f12262412c026,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,9,Care,label,0,2.0007419627502414,2.0007419627502414,0.9521485404330545,5,False,False,,True,,,label,0,,,433ef90fba7b2328,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,10,Care,label,0,2.997835756519933,2.997835756519933,0.9986265850269356,5,False,False,,True,,,label,0,,,a6525596c3499bdd,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,11,Care,label,0,3.9149007945918766,3.9149007945918766,0.999440885795633,5,False,False,,True,,,label,0,,,f29c3e2b4d598ecc,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,12,Care,label,0,2.9971996656704025,2.9971996656704025,0.9988730560563653,5,False,False,,True,,,label,0,,,626b3b7468a5b8c4,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,13,Care,label,0,2.966910485729677,2.966910485729677,0.994744896697562,5,False,False,,True,,,label,0,,,a8c0cb93844b69cc,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,14,Care,label,0,2.997862369343413,2.997862369343413,0.9979358572238608,5,False,False,,True,,,label,0,,,3d8d1ed5c58f3e78,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,15,Care,label,0,1.9741859083443307,1.9741859083443307,0.9675232164864949,5,False,False,,True,,,label,0,,,7264fb4457b5983c,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,16,Care,label,0,3.0179853015117413,3.0179853015117413,0.9993274445667916,5,False,False,,True,,,label,0,,,8bf5d9e6a505cadf,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,17,Fairness,label,0,3.9964063583992635,3.9964063583992635,0.9999371883127718,5,False,False,,True,,,label,0,,,a111352b2696ad02,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,18,Fairness,label,0,3.119202114788192,3.119202114788192,0.9996718053739172,5,False,False,,True,,,label,0,,,e3e076d903491eb4,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,19,Fairness,label,0,3.002834577956319,3.002834577956319,0.9989316328189186,5,False,False,,True,,,label,0,,,d7ea87429ddb6d54,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,20,Fairness,label,0,2.8933052873219576,2.8933052873219576,0.9978508456458646,5,False,False,,True,,,label,0,,,dcf36f35406dc883,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,21,Fairness,label,0,3.085098190099245,3.085098190099245,0.9992482037638591,5,False,False,,True,,,label,0,,,372251b1257eabc8,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,22,Fairness,label,0,3.999195886905765,3.999195886905765,0.9999317134545129,5,False,False,,True,,,label,0,,,2fd7b99ee7ded54d,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,23,Fairness,label,0,3.9993736190723634,3.9993736190723634,0.9999291802366241,5,False,False,,True,,,label,0,,,b07f4165b74004f8,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,24,Fairness,label,0,3.000328413235076,3.000328413235076,0.9994121640028581,5,False,False,,True,,,label,0,,,bda4bc8dfafabb3e,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,25,Fairness,label,0,3.294214111476339,3.294214111476339,0.9993146136697749,5,False,False,,True,,,label,0,,,aa049cbba2dd4400,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,26,Fairness,label,0,2.9964270569460956,2.9964270569460956,0.9979017085324053,5,False,False,,True,,,label,0,,,1d821562b24d22b7,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,27,Fairness,label,0,3.0474252657048257,3.0474252657048257,0.9995022988316087,5,False,False,,True,,,label,0,,,67cc1e470677bf54,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,28,Fairness,label,0,3.0953481630535613,3.0953481630535613,0.9993289604772614,5,False,False,,True,,,label,0,,,1ca9ff47e89c900d,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,29,Fairness,label,0,1.9579348288174772,1.9579348288174772,0.9869940208328359,5,False,False,,True,,,label,0,,,49f81eaedba6b45d,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,30,Fairness,label,0,2.9994693789033264,2.9994693789033264,0.9988171139078895,5,False,False,,True,,,label,0,,,bc469c0215a1e686,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,31,Fairness,label,0,3.9991958772554956,3.9991958772554956,0.9997971560088449,5,False,False,,True,,,label,0,,,c862f3c7bd8ac879,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,32,Fairness,label,0,2.294205876236383,2.294205876236383,0.9959907826322462,5,False,False,,True,,,label,0,,,ba287c7614d4165d,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,33,Fairness,label,0,2.9324474000693552,2.9324474000693552,0.9950233988558107,5,False,False,,True,,,label,0,,,110b132495834d73,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,34,Loyalty,label,0,2.032175900749942,2.032175900749942,0.9954751729362392,5,False,False,,True,,,label,0,,,a58eff98b77293e2,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,35,Loyalty,label,0,0.003951843737735105,0.003951843737735105,0.9982479787460947,5,False,False,,True,,,label,0,,,44e8e66f0803619d,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,36,Loyalty,label,0,1.9921746282559971,1.9921746282559971,0.9658175186942378,5,False,False,,True,,,label,0,,,fde8e03120b16902,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,37,Loyalty,label,0,1.5301371533006418,1.5301371533006418,0.9923881421942286,5,False,False,,True,,,label,0,,,6c4550fa1c64ef5f,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,38,Loyalty,label,0,2.5311603632202506,2.5311603632202506,0.9734829365221005,5,False,False,,True,,,label,0,,,a81e7aee08c5e79f,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,39,Loyalty,label,0,1.7982020860707215,1.7982020860707215,0.9243166681079207,5,False,False,,True,,,label,0,,,862cd3bf85e8ab27,
microsoft/phi-4,2db69c1c3e91a05d2c64a3185acfbaf36f744e25,v2,40,Loyalty,label,0,1.5900337422339652,1.5900337422339652,0.9869706263979229,5,False,False,,True,,,label,0,,,237a8348b19aafef,
