model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,1,Care,label,0,3.817532440077258,3.817532440077258,0.9785816771568385,5,False,False,,True,,,label,0,,,96be75762337acfb,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,2,Care,label,0,2.1480606741610937,2.1480606741610937,0.870457179346241,5,False,False,,True,,,label,0,,,0225c88217e16edd,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,3,Care,label,0,3.6224179106156704,3.6224179106156704,0.965994841170876,5,False,False,,True,,,label,0,,,54cac3ddc151fc42,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,4,Care,label,0,2.938131679905897,2.938131679905897,0.8770696307289751,5,False,False,,True,,,label,0,,,45112d17f43adbe1,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,5,Care,label,0,3.622251571216417,3.622251571216417,0.9615940098006869,5,False,False,,True,,,label,0,,,586b5b909dc8411b,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,6,Care,label,0,2.164043558705489,2.164043558705489,0.8980121984278422,5,False,False,,True,,,label,0,,,09fbd3c0d3fe37ca,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,7,Care,label,0,3.6223165045035084,3.6223165045035084,0.9615906467904426,5,False,False,,True,,,label,0,,,4b5d963519da4654,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,8,Care,label,0,3.7772692204968785,3.7772692204968785,0.9626659559762628,5,False,False,,True,,,label,0,,,fc50a7b317211dcc,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,9,Care,label,0,3.0311104083730456,3.0311104083730456,0.9599363864030985,5,False,False,,True,,,label,0,,,f1cb7b3ffe46aab1,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,10,Care,label,0,2.99425917865896,2.99425917865896,0.9474802443004599,5,False,False,,True,,,label,0,,,832b0fde78923b25,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,11,Care,label,0,3.966896042385455,3.966896042385455,0.9825117466237245,5,False,False,,True,,,label,0,,,83803a97ba0d2699,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,12,Care,label,0,2.9293296793660697,2.9293296793660697,0.8294957783479708,5,False,False,,True,,,label,0,,,0c6d32d7f9685f0f,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,13,Care,label,0,2.4701677981469254,2.4701677981469254,0.7991289639496743,5,False,False,,True,,,label,0,,,58db2519b58dd6bc,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,14,Care,label,0,3.007901120122146,3.007901120122146,0.9637702629282916,5,False,False,,True,,,label,0,,,0dbdc224f3a81a35,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,15,Care,label,0,2.0570358704386473,2.0570358704386473,0.8067228470214316,5,False,False,,True,,,label,0,,,20aebb1851c3bd61,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,16,Care,label,0,3.3206377081891376,3.3206377081891376,0.9471081052189751,5,False,False,,True,,,label,0,,,cb4af68fd1c26c54,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,17,Fairness,label,0,3.981999242674696,3.981999242674696,0.967392599991527,5,False,False,,True,,,label,0,,,952b5d6a452baa2b,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,18,Fairness,label,0,3.8807500778857826,3.8807500778857826,0.9046389794214454,5,False,False,,True,,,label,0,,,598e99a2e6c05bfb,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,19,Fairness,label,0,2.438431087692288,2.438431087692288,0.6953055976988795,5,False,False,,True,,,label,0,,,2427c46e128ca479,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,20,Fairness,label,0,2.940992284126553,2.940992284126553,0.9001881933530325,5,False,False,,True,,,label,0,,,2003ba94def1d23f,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,21,Fairness,label,0,3.018381000687514,3.018381000687514,0.9073177348121436,5,False,False,,True,,,label,0,,,c52a7421a934bb71,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,22,Fairness,label,0,3.990287158568792,3.990287158568792,0.9798112305312099,5,False,False,,True,,,label,0,,,2474d070766aaaa0,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,23,Fairness,label,0,3.9840832638834947,3.9840832638834947,0.9630929167406118,5,False,False,,True,,,label,0,,,9a884db7f4c02278,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,24,Fairness,label,0,2.377711821110367,2.377711821110367,0.7723403140692956,5,False,False,,True,,,label,0,,,cd5b1f8d1a3e4b03,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,25,Fairness,label,0,3.9398292407703908,3.9398292407703908,0.955191359786772,5,False,False,,True,,,label,0,,,e2269173cd19861a,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,26,Fairness,label,0,3.437170502184019,3.437170502184019,0.8753434484034813,5,False,False,,True,,,label,0,,,6ce3d0d3355dbc29,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,27,Fairness,label,0,3.377315187271203,3.377315187271203,0.9127068493865923,5,False,False,,True,,,label,0,,,b2d80d4a0581fa70,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,28,Fairness,label,0,3.1639059518356736,3.1639059518356736,0.8983193313274495,5,False,False,,True,,,label,0,,,ba148e3f36474084,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,29,Fairness,label,0,2.3490931796367596,2.3490931796367596,0.764190500126165,5,False,False,,True,,,label,0,,,aa503890f6ee39f3,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,30,Fairness,label,0,3.1815426343875384,3.1815426343875384,0.8755244635345959,5,False,False,,True,,,label,0,,,068d5efcd29854d8,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,31,Fairness,label,0,3.9914122591977725,3.9914122591977725,0.9797606798463079,5,False,False,,True,,,label,0,,,9e3df22da4122058,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,32,Fairness,label,0,2.0034904308424024,2.0034904308424024,0.8208540939244561,5,False,False,,True,,,label,0,,,b54f6ffcbd70e042,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,33,Fairness,label,0,2.778406830965455,2.778406830965455,0.8808091222509744,5,False,False,,True,,,label,0,,,844bff5655289623,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,34,Loyalty,label,0,2.4115557498118605,2.4115557498118605,0.7593927853813509,5,False,False,,True,,,label,0,,,f0cd425b7e64701f,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,35,Loyalty,label,0,0.30525666690349906,0.30525666690349906,0.9297913774676504,5,False,False,,True,,,label,0,,,186dbc3cefb64617,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,36,Loyalty,label,0,2.183083374438156,2.183083374438156,0.6956364085365658,5,False,False,,True,,,label,0,,,247d272bbcbb97aa,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,37,Loyalty,label,0,0.6249741238857999,0.6249741238857999,0.8618951349897398,5,False,False,,True,,,label,0,,,559d57844b7c6707,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,38,Loyalty,label,0,2.680664083607776,2.680664083607776,0.7893570285786417,5,False,False,,True,,,label,0,,,5e799bc5480cce1e,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,39,Loyalty,label,0,1.790066538679564,1.790066538679564,0.7723207058349015,5,False,False,,True,,,label,0,,,157dee9582bcc25d,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,40,Loyalty,label,0,1.716117495460025,1.716117495460025,0.8015333633185756,5,False,False,,True,,,label,0,,,5cc59f2ddd1c9156,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,41,Loyalty,label,0,2.540651816604746,2.540651816604746,0.7567979105185619,5,False,False,,True,,,label,0,,,a93fb7ed53a2589e,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,42,Loyalty,label,0,1.945050425703537,1.945050425703537,0.763414441420794,5,False,False,,True,,,label,0,,,2a4fe30ba6fa1949,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,43,Loyalty,label,0,2.7861773901333327,2.7861773901333327,0.8981081069525727,5,False,False,,True,,,label,0,,,7a27542a979bd23a,
meta-llama/Llama-3.1-70B-Instruct,1605565b47bb9346c5515c34102e054115b4f98b,v2,44,Loyalty,label,0,0.516039262772491,0.516039262772491,0.8576980267683018,5,False,False,,True,,,label,0,,,fe6e5b6cb3eac30c,
