model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,1,Care,label,0,2.9657474918080466,2.96574749188223,0.975845570353663,5,False,False,,True,,,label,0,,,add09e54f847dca8,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,2,Care,label,0,2.942522939091893,2.9425229392383616,0.9755884879311406,5,False,False,,True,,,label,0,,,d02b48f484c9fd49,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,3,Care,label,0,2.862480969329578,2.8624809695288973,0.9729417390227845,5,False,False,,True,,,label,0,,,e77c696dedb9b296,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,4,Care,label,0,2.991247686989667,2.991247687108223,0.9740593075104836,5,False,False,,True,,,label,0,,,dadf494a191d2f13,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,5,Care,label,0,2.8820516328539676,2.8820516330761863,0.9767505913846041,5,False,False,,True,,,label,0,,,0b9923ec57337d19,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,6,Care,label,0,2.8559097250610717,2.8559097253224195,0.9766503602362387,5,False,False,,True,,,label,0,,,790adece3c4da7ab,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,7,Care,label,0,3.0134520474420334,3.0134520475244644,0.9769558428470269,5,False,False,,True,,,label,0,,,345d14a786ab109a,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,8,Care,label,0,2.946161041156538,2.946161041277678,0.977388635754391,5,False,False,,True,,,label,0,,,5be4a442bb5edd86,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,9,Care,label,0,3.0540897088042582,3.0540897089186925,0.9760915539584809,5,False,False,,True,,,label,0,,,e7ce26205a7890a7,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,10,Care,label,0,3.003341512786438,3.003341512910971,0.9778250640981742,5,False,False,,True,,,label,0,,,7373d2cc4d2c27d7,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,11,Care,label,0,3.1000254813891255,3.1000254814599506,0.9763184113847498,5,False,False,,True,,,label,0,,,15c66492ec351920,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,12,Care,label,0,2.953001360063355,2.9530013603563052,0.9700137147812854,5,False,False,,True,,,label,0,,,96a5e8d58cc271a5,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,13,Care,label,0,2.9463918395242708,2.9463918396727937,0.9800960423007952,5,False,False,,True,,,label,0,,,385dff2177d66657,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,14,Care,label,0,2.9915981833179504,2.9915981835083856,0.9748235860014717,5,False,False,,True,,,label,0,,,bbb67b2a11cd6d48,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,15,Care,label,0,2.8702795616514045,2.870279561864531,0.9742503990542957,5,False,False,,True,,,label,0,,,b5ac1afe2446645a,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,16,Care,label,0,2.890045174857695,2.8900451750333453,0.9742917748387723,5,False,False,,True,,,label,0,,,74dd84997245ee1f,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,17,Fairness,label,0,2.953001360247522,2.9530013603563052,0.9686497229578603,5,False,False,,True,,,label,0,,,081bbdeb27c9d9ba,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,18,Fairness,label,0,3.039870445412828,3.0398704454845715,0.9728029081160848,5,False,False,,True,,,label,0,,,8f864c44ad7b8898,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,19,Fairness,label,0,3.0275284116700028,3.0275284117459766,0.972860218638999,5,False,False,,True,,,label,0,,,c3b9a40c082b9de1,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,20,Fairness,label,0,2.9302932140178353,2.9302932142745712,0.9664439139426044,5,False,False,,True,,,label,0,,,3918ce1d488b140f,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,21,Fairness,label,0,3.026538001232675,3.0265380013096697,0.9745278967058093,5,False,False,,True,,,label,0,,,e7dbcc1c43407f04,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,22,Fairness,label,0,3.139608144843064,3.1396081449511564,0.9718565885838168,5,False,False,,True,,,label,0,,,c11a4afee3b09914,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,23,Fairness,label,0,3.028361976361585,3.028361976478365,0.9640603324799831,5,False,False,,True,,,label,0,,,4db4f9d71823acc3,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,24,Fairness,label,0,3.0221926836606743,3.022192683729861,0.9825053266108116,5,False,False,,True,,,label,0,,,42f0ae82fc584562,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,25,Fairness,label,0,2.9648914474627275,2.964891447534423,0.9736657901399248,5,False,False,,True,,,label,0,,,6f98b76fa9e2e97c,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,26,Fairness,label,0,3.0026361283052863,3.0026361284318472,0.9691197975113832,5,False,False,,True,,,label,0,,,1aee3ca950d4a6e4,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,27,Fairness,label,0,2.9657474906585057,2.9657474908063555,0.9687654561063976,5,False,False,,True,,,label,0,,,ade18057e1400d65,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,28,Fairness,label,0,2.9091832751687106,2.909183275329656,0.9717971657214317,5,False,False,,True,,,label,0,,,b4e9ce6e709fa91c,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,29,Fairness,label,0,2.810737520491147,2.8107375205696026,0.9762524968571686,5,False,False,,True,,,label,0,,,da64ef21624e20a9,
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,v2,30,Fairness,label,0,3.076727626744465,3.0767276268342685,0.9767343914740726,5,False,False,,True,,,label,0,,,d620d38d7aa1adbc,
