model,revision,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,seed,prompt_sha,raw_output
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,1,Care,label,0,nan,,0.0,0,False,True,,,781,,93f25ea6e942697c,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,2,Care,label,0,nan,,0.0,0,False,True,,,781,,5a6e631637b72bb7,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,3,Care,label,0,nan,,0.0,0,False,True,,,781,,a8611d19482c646b,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,4,Care,label,0,nan,,0.0,0,False,True,,,781,,6fd0b55f7954e53f,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,5,Care,label,0,nan,,0.0,0,False,True,,,781,,f5508fe8c800074f,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,6,Care,label,0,nan,,0.0,0,False,True,,,781,,fa5302ef7675d4ce,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,7,Care,label,0,nan,,0.0,0,False,True,,,781,,3ce23ff4a0fcd362,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,8,Care,label,0,nan,,0.0,0,False,True,,,781,,66814be2fffa3dec,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,9,Care,label,0,nan,,0.0,0,False,True,,,781,,f70c75fc6d93ae22,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,10,Care,label,0,nan,,0.0,0,False,True,,,781,,2e8ad1734bd89962,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,11,Care,label,0,nan,,0.0,0,False,True,,,781,,8806fade01a6985c,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,12,Care,label,0,nan,,0.0,0,False,True,,,781,,9e4257edcf50a02b,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,13,Care,label,0,nan,,0.0,0,False,True,,,781,,ec27b76fd6497aa8,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,14,Care,label,0,nan,,0.0,0,False,True,,,781,,2c973b2c4a1bae7d,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,15,Care,label,0,nan,,0.0,0,False,True,,,781,,1bca23c2e566413b,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,16,Care,label,0,nan,,0.0,0,False,True,,,781,,91a6941f110cfcdc,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,17,Fairness,label,0,nan,,0.0,0,False,True,,,781,,0b9e10a75e903b6f,"
"
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,18,Fairness,label,0,nan,,0.0,0,False,True,,,781,,03c4e34ae2e25472,"
"
