model,revision,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,seed,prompt_sha,raw_output
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,1,Care,label,0,2.977134909978237,,0.9730487591786283,5,False,False,,,35,,add09e54f847dca8,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,2,Care,label,0,2.966924576684257,,0.9755342080292072,5,False,False,,,35,,d02b48f484c9fd49,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,3,Care,label,0,2.8358557004731315,,0.9682937655987005,5,False,False,,,35,,e77c696dedb9b296,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,4,Care,label,0,2.9804858271623194,,0.9720866738391409,5,False,False,,,35,,dadf494a191d2f13,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,5,Care,label,0,2.8790374383063044,,0.975808666831591,5,False,False,,,35,,0b9923ec57337d19,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,6,Care,label,0,2.811977177910249,,0.9744778513167851,5,False,False,,,35,,790adece3c4da7ab,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,7,Care,label,0,3.0398704790555504,,0.9751127931150987,5,False,False,,,35,,345d14a786ab109a,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,8,Care,label,0,2.946161041277678,,0.9762328034550544,5,False,False,,,35,,5be4a442bb5edd86,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,9,Care,label,0,3.087683521289342,,0.9717146102326787,5,False,False,,,35,,e7ce26205a7890a7,3
HuggingFaceTB/SmolLM2-1.7B-Instruct,31b70e2e869a7173562077fd711b654946d38674,10,Care,label,0,2.9910036433966334,,0.9750449008503557,5,False,False,,,35,,7373d2cc4d2c27d7,3
