model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,v2,1,Care,label,0,3.999999999951269,3.999999999951269,1.000000000048538,5,False,False,,True,,,label,0,,,add09e54f847dca8,
Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,v2,2,Care,label,0,1.0014881759178662,1.0014881759178662,0.999976299153046,5,False,False,,True,,,label,0,,,d02b48f484c9fd49,
Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,v2,3,Care,label,0,3.5621711047829727,3.5621711047829727,0.999999940503776,5,False,False,,True,,,label,0,,,e77c696dedb9b296,
Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,v2,4,Care,label,0,1.939934884664525,1.939934884664525,0.99999000873526,5,False,False,,True,,,label,0,,,dadf494a191d2f13,
Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,v2,5,Care,label,0,3.998829704389612,3.998829704389612,1.0000000413019907,5,False,False,,True,,,label,0,,,0b9923ec57337d19,
Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,v2,6,Care,label,0,8.315279392748805e-07,8.315279392748805e-07,0.9999999970635932,5,False,False,,True,,,label,0,,,790adece3c4da7ab,
Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,v2,7,Care,label,0,3.817574261360459,3.817574261360459,0.9999997647154837,5,False,False,,True,,,label,0,,,345d14a786ab109a,
Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,v2,8,Care,label,0,3.999993855822198,3.999993855822198,0.9999999453325228,5,False,False,,True,,,label,0,,,5be4a442bb5edd86,
Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,v2,9,Care,label,0,2.391801115204702,2.391801115204702,0.9999023070234025,5,False,False,,True,,,label,0,,,e7ce26205a7890a7,
Qwen/Qwen2.5-14B-Instruct,cf98f3b3bbb457ad9e2bb7baf9a0125b6b88caa8,v2,10,Care,label,0,3.0050967324509386,3.0050967324509386,0.9999999532467095,5,False,False,,True,,,label,0,,,7373d2cc4d2c27d7,
