model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,1,Care,label,0,3.1471559965879865,3.267179947246728,0.14138389500545112,5,False,False,,True,,,label,0,,,ee41ae8ccaa8735c,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,2,Care,label,0,2.9530037182569595,2.8372728108195213,0.04372120364424056,5,False,False,,True,,,label,0,,,ffccdcdefe5f4e93,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,3,Care,label,0,3.985936359418997,3.8931368603463987,0.306160749863662,5,False,False,,True,,,label,0,,,1baa03d52d052185,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,4,Care,label,0,2.0000100613606335,2.0028886460248665,0.057953721572866525,5,False,False,,True,,,label,0,,,a625436693b6ad2f,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,5,Care,label,0,2.2243156007410767,2.3838177581022637,0.01773453610556043,5,False,False,,True,,,label,0,,,4ae19a50ed35f5e1,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,6,Care,label,0,0.14815141651728395,0.303954054241868,0.03558870701778302,5,False,False,,True,,,label,0,,,7debdfdf33d44e31,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,7,Care,label,0,3.9933071467039025,3.9240547238305257,0.5974118610441684,5,False,False,,True,,,label,0,,,61fd86628c47bd89,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,8,Care,label,0,3.999876605191684,3.9889788192637763,0.8132769780594705,5,False,False,,True,,,label,0,,,65dbdcd08185bed8,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,9,Care,label,0,2.0475340499586108,2.193141614964575,0.09180143941379788,5,False,False,,True,,,label,0,,,8ebeb15dbc102604,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,10,Care,label,0,3.6791783167847503,3.5920978759066267,0.31489817339941933,5,False,False,,True,,,label,0,,,a03d8117555d9979,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,11,Care,label,0,3.9990889487424806,3.970658222058169,0.4873995054248477,5,False,False,,True,,,label,0,,,50129cc83d588d79,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,12,Care,label,0,2.0000036140809856,2.001588976898899,0.005183611525679453,5,False,False,,True,,,label,0,,,cde5cd4d9ad99e9d,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,13,Care,label,0,2.999350139113147,2.9865782563504335,0.022702007509740003,5,False,False,,True,,,label,0,,,075fc923f85ef3d2,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,14,Care,label,0,1.9997388008901051,1.983989211285206,0.09126737550638826,5,False,False,,True,,,label,0,,,84fb8e3da7817cf3,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,15,Care,label,0,1.9933061557707814,1.9229563310115696,0.022413429802542937,5,False,False,,True,,,label,0,,,ae30fe1b07c5ec29,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,16,Care,label,0,2.0001233458681593,2.010828696543869,0.006542118726141435,5,False,False,,True,,,label,0,,,8ed7f1b53de00f33,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,17,Fairness,label,0,3.9992903290294697,3.9739857000940586,0.362186644689904,5,False,False,,True,,,label,0,,,27f07ffbfe8e5ef7,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,18,Fairness,label,0,3.9046505144775048,3.7547495910843756,0.1764540994171272,5,False,False,,True,,,label,0,,,add21d991a38726b,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,19,Fairness,label,0,3.99987660512059,3.988982860229321,0.35799434020429255,5,False,False,,True,,,label,0,,,0d1872a6ce6e1191,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,20,Fairness,label,0,2.006692773437407,2.0757192314862416,0.04522269896009462,5,False,False,,True,,,label,0,,,182296dd7682ffbd,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,21,Fairness,label,0,3.991422513339598,3.9148348502360424,0.03604713148054312,5,False,False,,True,,,label,0,,,8a614a1ebd3e329b,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,22,Fairness,label,0,3.999891103029975,3.9896484948027693,0.87607718573582,5,False,False,,True,,,label,0,,,a5ac99b07e700b57,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,23,Fairness,label,0,3.99991518879245,3.9908497657344006,0.7187406662912503,5,False,False,,True,,,label,0,,,8975d71f7d294b09,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,24,Fairness,label,0,3.679178655902663,3.592492059627548,0.2650172543238263,5,False,False,,True,,,label,0,,,ae4e0c1673e0c944,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,25,Fairness,label,0,3.7772994332821015,3.6507395204938233,0.48407197684348163,5,False,False,,True,,,label,0,,,81ef18af4ec0de9c,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,26,Fairness,label,0,3.731057661280379,3.6215590208867527,0.04703123266831382,5,False,False,,True,,,label,0,,,509a14ac192cd547,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,27,Fairness,label,0,3.3208209354351466,3.406799217323681,0.002453325876516175,5,False,False,,True,,,label,0,,,aa9f57e40b8a1275,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,28,Fairness,label,0,3.0953491662704415,3.244560594816031,0.6157357751561285,5,False,False,,True,,,label,0,,,3f1a71fbe2b73cce,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,29,Fairness,label,0,2.0002603605342277,2.0150270669322987,0.02291152480021635,5,False,False,,True,,,label,0,,,0540fe1d7da12a3e,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,30,Fairness,label,0,3.7772994333663723,3.6507480164654824,0.26629685703297085,5,False,False,,True,,,label,0,,,aeff3202f84e90e2,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,31,Fairness,label,0,3.999903897178037,3.990246151785824,0.2594040732495652,5,False,False,,True,,,label,0,,,71e444a40b2fb59c,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,32,Fairness,label,0,1.9999454336958464,1.994300437635259,0.0109385411387181,5,False,False,,True,,,label,0,,,8335736a1b49606e,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,33,Fairness,label,0,2.9988758873178227,2.973586470448854,0.006555386393453261,5,False,False,,True,,,label,0,,,b27c420614ae01a6,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,34,Loyalty,label,0,3.002349229097326,3.036440638422742,0.021812272423635485,5,False,False,,True,,,label,0,,,57718eebd0b7d174,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,35,Loyalty,label,0,0.9954925096884715,0.9750178813281274,0.17652849849920355,5,False,False,,True,,,label,0,,,2898daa34adb34ad,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,36,Loyalty,label,0,1.99807103539044,1.9564331931481969,0.09307798584083604,5,False,False,,True,,,label,0,,,f16f0b3a78a22575,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,37,Loyalty,label,0,0.7779744439269847,0.6744231871067038,0.03615364744279152,5,False,False,,True,,,label,0,,,b7d57ee0650818b0,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,38,Loyalty,label,0,1.9997967108833878,1.9858675640155503,0.0994365877619628,5,False,False,,True,,,label,0,,,f49afabd5d157c68,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,39,Loyalty,label,0,2.0179862053214874,2.1191351162044465,0.17404131299130995,5,False,False,,True,,,label,0,,,9b2372f6598be7fd,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,40,Loyalty,label,0,0.9527770987909465,0.8312298671275913,0.07484974926804576,5,False,False,,True,,,label,0,,,c08f226d45d5fa81,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,41,Loyalty,label,0,3.073942246529107,3.1822743594721516,0.11842105784876239,5,False,False,,True,,,label,0,,,dd1b0f9e10edf9bc,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,42,Loyalty,label,0,2.0002396091158405,2.0109869118841455,0.036095780993142465,5,False,False,,True,,,label,0,,,c09a5d5bccb66cc4,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,43,Loyalty,label,0,3.904650279669743,3.754401455717679,0.7270937697239808,5,False,False,,True,,,label,0,,,727e150c3a4f174d,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,44,Loyalty,label,0,3.8519511191602818,3.7045246319793463,0.11495400035338631,5,False,False,,True,,,label,0,,,261450db1819000d,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,45,Loyalty,label,0,3.9933070932428225,3.9238167418310526,0.25007768894870025,5,False,False,,True,,,label,0,,,17566e627ae89eae,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,46,Loyalty,label,0,3.817542610490936,3.6738784788037853,0.37325624270060764,5,False,False,,True,,,label,0,,,5671faca4c73c690,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,47,Loyalty,label,0,1.9996909214009564,1.9859142102312204,0.3615232944021066,5,False,False,,True,,,label,0,,,47d5bf19a7c9a5ac,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,48,Loyalty,label,0,1.9997796986693783,1.9880018646187374,0.16944922011245053,5,False,False,,True,,,label,0,,,995154cc48c2f102,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,49,Loyalty,label,0,3.6222538706870315,3.5497038723426932,0.4918522444542408,5,False,False,,True,,,label,0,,,daee9e2d1917e325,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,50,Authority,label,0,2.989013704011456,2.9054104290325666,0.036095183152709064,5,False,False,,True,,,label,0,,,5ad30efb6525a40e,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,51,Authority,label,0,1.8518608863396144,1.6968576003174898,0.035873178814538415,5,False,False,,True,,,label,0,,,521b709c46aa8a51,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,52,Authority,label,0,2.999605657474896,2.989434364791454,0.013832860419019861,5,False,False,,True,,,label,0,,,8a2230a82ef967f7,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,53,Authority,label,0,3.9990889475875697,3.970621479819422,0.4891756466161093,5,False,False,,True,,,label,0,,,c76ba759d80e8a61,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,54,Authority,label,0,2.0000054966094067,2.001672281092623,0.0011626788500842039,5,False,False,,True,,,label,0,,,8a3e601b96a2b8b9,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,55,Authority,label,0,2.98907134238133,2.912125893893737,0.01387919598409935,5,False,False,,True,,,label,0,,,a28f831d34ab4f83,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,56,Authority,label,0,3.2226998719222895,3.3481819593731155,0.11456181826883084,5,False,False,,True,,,label,0,,,c872813a7e9f03c5,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,57,Authority,label,0,2.9770243900492503,2.868307741791968,0.01776237119403113,5,False,False,,True,,,label,0,,,1c8d5188c7afd290,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,58,Authority,label,0,3.9933071389080057,3.9240025651285837,0.1773830035867506,5,False,False,,True,,,label,0,,,b8803b87394b6e40,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,59,Authority,label,0,3.377540637454136,3.437662021243,0.07485908446566707,5,False,False,,True,,,label,0,,,2f1999ece25b6921,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,60,Authority,label,0,3.1192026235552848,3.268417211304494,0.022729941019760353,5,False,False,,True,,,label,0,,,5cc2f6ae9db0164d,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,61,Authority,label,0,2.50005602815151,2.506158512489802,0.03605126492643994,5,False,False,,True,,,label,0,,,4d6e00eaa41cb3c0,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,62,Authority,label,0,3.0108908519232416,3.0857006670614844,0.11829368715765913,5,False,False,,True,,,label,0,,,4d0ce3538115617a,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,63,Authority,label,0,3.222699902069946,3.3482094333280186,0.028710133596141583,5,False,False,,True,,,label,0,,,b6e9153343a2c3f7,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,64,Authority,label,0,2.9693582750739784,2.909995594550781,0.047003216058022594,5,False,False,,True,,,label,0,,,a1f5481ec1275312,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,65,Authority,label,0,1.0599637299243505,1.1914202703223866,0.017864317199052456,5,False,False,,True,,,label,0,,,73a32e5ec5b3efa8,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,66,Authority,label,0,2.014063625126464,2.106710673683531,0.013595466323375804,5,False,False,,True,,,label,0,,,fcedf8eed9f8d52a,
microsoft/Phi-3.5-mini-instruct,2fe192450127e6a83f7441aef6e3ca586c338b77,v2,67,Sanctity,label,0,3.999999346760944,3.998971859062627,0.8965692232949761,5,False,False,,True,,,label,0,,,0466b2365c2e24d7,
