model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,1,Care,label,0,3.8858321168139787,3.8858288330431074,0.9032275040760553,5,False,False,,True,,,label,0,,,584529158b943b6d,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,2,Care,label,0,1.478030319345387,1.478065535172902,0.8830108873230477,5,False,False,,True,,,label,0,,,641a20c0302fe6f2,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,3,Care,label,0,3.1739923243265924,3.173999684912283,0.8889629307867125,5,False,False,,True,,,label,0,,,4cc11ca6195fd261,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,4,Care,label,0,2.5132151637696807,2.513219314146501,0.8944228568219671,5,False,False,,True,,,label,0,,,645847ad17ccf2cc,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,5,Care,label,0,3.6550592442163445,3.655059892354904,0.8851623562940739,5,False,False,,True,,,label,0,,,009b8383f8dae6f1,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,6,Care,label,0,0.7774922913407146,0.7775021760030096,0.8647578600175265,5,False,False,,True,,,label,0,,,25e152dd238759b7,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,7,Care,label,0,3.8915375979178384,3.8915359247822123,0.9056912186357334,5,False,False,,True,,,label,0,,,b4b4ddb36197f75d,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,8,Care,label,0,3.248093140390301,3.248102435498109,0.8912335890748454,5,False,False,,True,,,label,0,,,816848d1cb16b151,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,9,Care,label,0,2.6686945007771246,2.6686915213388884,0.8771545639205827,5,False,False,,True,,,label,0,,,6fee040db7e4c9f6,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,10,Care,label,0,2.4076683056133055,2.407678659564372,0.8807438941879354,5,False,False,,True,,,label,0,,,266df114992d9e12,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,11,Care,label,0,3.838983090042321,3.8389786522534846,0.9121319008354634,5,False,False,,True,,,label,0,,,395e7660bef4f4e4,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,12,Care,label,0,2.3049655309197656,2.304976487606666,0.8993404634210969,5,False,False,,True,,,label,0,,,a93aefd33aff20d8,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,13,Care,label,0,2.1462816744750266,2.146314323644026,0.8816698406675441,5,False,False,,True,,,label,0,,,be200e7034e77459,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,14,Care,label,0,2.250402328062645,2.250397000374004,0.894853175520204,5,False,False,,True,,,label,0,,,287a1a2581c158d6,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,15,Care,label,0,1.9530410280677266,1.953045796629682,0.8862732278516555,5,False,False,,True,,,label,0,,,74e6252ddadc59d6,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,16,Care,label,0,3.0295920154173066,3.029626740670022,0.8760285883529394,5,False,False,,True,,,label,0,,,43d13e318c973006,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,17,Fairness,label,0,3.4867452340289966,3.4867351890532188,0.8934888336375885,5,False,False,,True,,,label,0,,,f2f6b8e00c528fea,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,18,Fairness,label,0,2.8203535657559016,2.8203403190520495,0.9066966953015888,5,False,False,,True,,,label,0,,,b6cbc1a930e5a75a,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,19,Fairness,label,0,3.688405185775667,3.688406787409086,0.9080888683601979,5,False,False,,True,,,label,0,,,297e137d77966251,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,20,Fairness,label,0,1.6858027903600052,1.6858199404717957,0.8897945380837151,5,False,False,,True,,,label,0,,,fa7a75a0a05738a0,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,21,Fairness,label,0,2.700746661884878,2.700736871700874,0.8635130375545993,5,False,False,,True,,,label,0,,,41aee7bae288f8bb,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,22,Fairness,label,0,3.7932006167422667,3.7932000054418715,0.925709461508923,5,False,False,,True,,,label,0,,,5352976c0af021de,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,23,Fairness,label,0,3.9262849362885963,3.9262832143305335,0.9291585497712418,5,False,False,,True,,,label,0,,,5235e2fe050fbb6b,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,24,Fairness,label,0,2.501447990992038,2.5014382793226773,0.9097161229654178,5,False,False,,True,,,label,0,,,5473262dd6506f3b,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,25,Fairness,label,0,3.731792779588694,3.7317901768897794,0.9254621218673966,5,False,False,,True,,,label,0,,,189ba4aa438dd34f,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,26,Fairness,label,0,2.927019115889949,2.927023928474476,0.8952513933757269,5,False,False,,True,,,label,0,,,bf7cee1823e667a3,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,27,Fairness,label,0,3.1891099477923532,3.1891459838425256,0.880710786066649,5,False,False,,True,,,label,0,,,c48109e3ccfa57d1,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,28,Fairness,label,0,3.578539552559035,3.5785345624127696,0.9125264231276131,5,False,False,,True,,,label,0,,,6ada3769706a8835,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,29,Fairness,label,0,1.6401108875923196,1.6401117290316145,0.8781727131292013,5,False,False,,True,,,label,0,,,ea78850d31a3d812,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,30,Fairness,label,0,2.1898914803842535,2.189885897051028,0.902308832143158,5,False,False,,True,,,label,0,,,1c04c2deb8d5406a,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,31,Fairness,label,0,3.0326009164258805,3.0325983901412235,0.8917628616608898,5,False,False,,True,,,label,0,,,26aab1dfe7268cb3,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,32,Fairness,label,0,1.8996934490295374,1.899698976982339,0.9033919161143463,5,False,False,,True,,,label,0,,,7833bc1d8fead5d0,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,33,Fairness,label,0,2.338234873660413,2.3382550154426447,0.8748947295618229,5,False,False,,True,,,label,0,,,1fb9315df4e2b500,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,34,Loyalty,label,0,2.680096883364159,2.680108680762812,0.8926996714674599,5,False,False,,True,,,label,0,,,5a64bf3483ffe173,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,35,Loyalty,label,0,2.6385673712044873,2.6385632458398547,0.8799485017628308,5,False,False,,True,,,label,0,,,35575bdda1a4b18b,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,36,Loyalty,label,0,2.421406311332782,2.4214017205203637,0.8779826718155672,5,False,False,,True,,,label,0,,,912e8ab8c276cb5e,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,37,Loyalty,label,0,2.3147512127016574,2.3147732580376155,0.9074862072813705,5,False,False,,True,,,label,0,,,1167a9b148df1502,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,38,Loyalty,label,0,2.750920593295831,2.750926945451281,0.874510661148436,5,False,False,,True,,,label,0,,,d159722e5c3dad91,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,39,Loyalty,label,0,2.3828473681313382,2.3828547410842997,0.8939732872033925,5,False,False,,True,,,label,0,,,09aa6000a49141b4,
internlm/internlm2_5-7b-chat,eb72b541689b0432dade0435feb339b89fdd39ff,v2,40,Loyalty,label,0,1.1894167712636539,1.1894352705024311,0.9077323536107368,5,False,False,,True,,,label,0,,,3de5ca8e7fb16fb0,
