model,revision,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,seed,prompt_sha,raw_output
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,1,Care,label,0,3.437730638882856,,0.9997511098136044,4,False,False,,,18,,de9a2fb2fab09c45,3
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,2,Care,label,0,2.2437278141786856,,0.9976487981339291,4,False,False,,,17,,390ef16a2e6a3b4c,2
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,3,Care,label,0,3.1058535819312882,,0.9996850198505901,4,False,False,,,18,,2081b242eddfa3d9,3
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,4,Care,label,0,2.2481032381106614,,0.9974998373673006,4,False,False,,,17,,e28307be3c1e5fdb,2
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,5,Care,label,0,3.3071745993824346,,0.9995932607210524,4,False,False,,,18,,09e9629af779ef29,3
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,6,Care,label,0,2.072165643049033,,0.9991893886478315,5,False,False,,,17,,8c48f6a09775d72b,2
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,7,Care,label,0,3.3768652211226953,,0.9996323572396033,4,False,False,,,18,,b6adeee3318bb5a1,3
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,8,Care,label,0,2.9436969169087392,,0.9992445980657145,4,False,False,,,18,,c9ca18f756dc5afa,3
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,9,Care,label,0,3.182254831903682,,0.9989904148897435,4,False,False,,,18,,6b48544101f9d3d5,3
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,10,Care,label,0,2.5936145078711537,,0.9990612511174488,4,False,False,,,18,,e76c8902aa08d8c3,3
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,11,Care,label,0,3.577481183201288,,0.9997847819223731,3,False,False,,,19,,751d32217922e5f5,4
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,12,Care,label,0,2.7365115488157694,,0.9988824197976455,4,False,False,,,18,,17c2a9b543d44403,3
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,13,Care,label,0,2.963530547055802,,0.9992786325243328,4,False,False,,,18,,5accf6a302138a9b,3
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,14,Care,label,0,2.564483048194641,,0.9941368627815393,4,False,False,,,18,,805e5c0162273767,3
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,15,Care,label,0,2.057262496806825,,0.999460719321394,5,False,False,,,17,,1088e92bad45e4c1,2
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,16,Care,label,0,2.6903274715372762,,0.9988961984925463,4,False,False,,,18,,6e58e621aa0c9564,3
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,17,Fairness,label,0,3.592517039120878,,0.9987360813092477,3,False,False,,,19,,2e3e2c77e6266ea2,4
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,18,Fairness,label,0,2.830087027195256,,0.9965360697305929,4,False,False,,,18,,8ec410b184e5d681,3
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,19,Fairness,label,0,2.6668735755660773,,0.9985186636696168,4,False,False,,,18,,b67a1ebceac88313,3
allenai/OLMo-2-1124-13B-Instruct,3a5c85baefbb1896a54d56fe2e76c0395627ddf4,20,Fairness,label,0,2.4842079504889143,,0.9980371412054247,4,False,False,,,17,,b7cc5ffa62a800d9,2
