model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
01-ai/Yi-1.5-9B-Chat,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,v2,1,Care,label,0,3.998313421872167,3.998313422311292,0.9282058748824867,5,False,False,,True,,,label,0,,,50f0980f32dfecc6,
01-ai/Yi-1.5-9B-Chat,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,v2,2,Care,label,0,1.2004564414925782,1.2004564200252905,0.4289774654797856,5,False,False,,True,,,label,0,,,31de0763678abb60,
01-ai/Yi-1.5-9B-Chat,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,v2,3,Care,label,0,3.9971373259373455,3.9971373263678793,0.947099572150608,5,False,False,,True,,,label,0,,,a0e507dd7972a02f,
01-ai/Yi-1.5-9B-Chat,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,v2,4,Care,label,0,2.005668451327036,2.0056684530233477,0.8247275289396373,5,False,False,,True,,,label,0,,,c7f61e548590ad13,
01-ai/Yi-1.5-9B-Chat,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,v2,5,Care,label,0,3.2778737586164275,3.2778737387788874,0.8138131690556202,5,False,False,,True,,,label,0,,,f577de365bb6dde1,
01-ai/Yi-1.5-9B-Chat,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,v2,6,Care,label,0,1.968457995347435,1.96845799337426,0.5615428907700709,5,False,False,,True,,,label,0,,,e4259a3efebcd958,
01-ai/Yi-1.5-9B-Chat,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,v2,7,Care,label,0,2.9719479511372544,2.9719479504403945,0.8853641707113271,5,False,False,,True,,,label,0,,,478331093e9f857d,
01-ai/Yi-1.5-9B-Chat,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,v2,8,Care,label,0,3.999357289571679,3.999357289678093,0.9493403335660464,5,False,False,,True,,,label,0,,,8e6447beee725cbf,
01-ai/Yi-1.5-9B-Chat,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,v2,9,Care,label,0,1.82683079669111,1.8268307803968344,0.8104000780324185,5,False,False,,True,,,label,0,,,1e490301497b0263,
01-ai/Yi-1.5-9B-Chat,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,v2,10,Care,label,0,2.8875860301836744,2.887586030256708,0.8305012752722322,5,False,False,,True,,,label,0,,,056ac2225086fa08,
01-ai/Yi-1.5-9B-Chat,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,v2,11,Care,label,0,3.9985934941485475,3.998593494672995,0.9558867078141076,5,False,False,,True,,,label,0,,,10b48908c30ef8cf,
