model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,1,Care,label,0,2.8702231344238975,2.8301987063301737,0.530399872405971,5,False,False,,True,,,label,0,,,ee41ae8ccaa8735c,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,2,Care,label,0,2.2224347903805777,2.372653491687864,0.512599113517422,5,False,False,,True,,,label,0,,,ffccdcdefe5f4e93,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,3,Care,label,0,3.8472759658242195,3.600997013651297,0.4903750211863196,5,False,False,,True,,,label,0,,,1baa03d52d052185,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,4,Care,label,0,2.061974696665197,2.115624014208442,0.5517898502925332,5,False,False,,True,,,label,0,,,a625436693b6ad2f,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,5,Care,label,0,2.0346503291376905,2.092551257307396,0.4357436538015995,5,False,False,,True,,,label,0,,,4ae19a50ed35f5e1,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,6,Care,label,0,0.9708497783220714,1.0186258476335963,0.6058651045812725,5,False,False,,True,,,label,0,,,7debdfdf33d44e31,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,7,Care,label,0,3.8127211814837163,3.578344445514992,0.5815260874801611,5,False,False,,True,,,label,0,,,61fd86628c47bd89,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,8,Care,label,0,3.930300315588839,3.7048076601824165,0.5774371959571648,5,False,False,,True,,,label,0,,,65dbdcd08185bed8,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,9,Care,label,0,2.7535238996285636,2.732146409925607,0.5588298858613291,5,False,False,,True,,,label,0,,,8ebeb15dbc102604,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,10,Care,label,0,3.5597282599220272,3.3561085180204238,0.5965591607844756,5,False,False,,True,,,label,0,,,a03d8117555d9979,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,11,Care,label,0,3.891299124380064,3.6670931199223977,0.4896597619866294,5,False,False,,True,,,label,0,,,50129cc83d588d79,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,12,Care,label,0,2.003362065139279,2.025977681630315,0.49256352525077,5,False,False,,True,,,label,0,,,cde5cd4d9ad99e9d,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,13,Care,label,0,3.016853802303937,2.9515424772352152,0.5029639744101999,5,False,False,,True,,,label,0,,,075fc923f85ef3d2,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,14,Care,label,0,1.9820460143596932,1.9905609464529292,0.480238330465006,5,False,False,,True,,,label,0,,,84fb8e3da7817cf3,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,15,Care,label,0,1.6959893179359378,1.6134108136238516,0.4837500310757316,5,False,False,,True,,,label,0,,,ae30fe1b07c5ec29,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,16,Care,label,0,2.5079720799838157,2.5915041183904637,0.5012163011021358,5,False,False,,True,,,label,0,,,8ed7f1b53de00f33,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,17,Fairness,label,0,3.913254965581663,3.6910751674666744,0.5496775508833929,5,False,False,,True,,,label,0,,,27f07ffbfe8e5ef7,
microsoft/Phi-3-mini-4k-instruct,f39ac1d28e925b323eae81227eaba4464caced4e,v2,18,Fairness,label,0,3.5058043843950792,3.3440056301353627,0.51055602916912,5,False,False,,True,,,label,0,,,add21d991a38726b,
