model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,1,Care,label,0,3.46548619604673,3.465485892573001,0.9954259962716197,5,False,False,,True,,,label,0,,,44642b1e52ff3e79,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,2,Care,label,0,2.454878099289356,2.454876879799342,0.9834379113282531,5,False,False,,True,,,label,0,,,1913a7d03af1ff88,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,3,Care,label,0,2.9864167647512128,2.986416264454815,0.9918493601913266,5,False,False,,True,,,label,0,,,a2d3b6daf453e8b6,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,4,Care,label,0,2.30157957951059,2.3015786825454145,0.9758440695821355,5,False,False,,True,,,label,0,,,5e96c369f81eb79f,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,5,Care,label,0,2.6356661948284894,2.6356648101409554,0.9881182451325012,5,False,False,,True,,,label,0,,,40bade8087ef10f8,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,6,Care,label,0,1.821415831604269,1.8214155265266916,0.9791829372235732,5,False,False,,True,,,label,0,,,8c67f566fd720c90,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,7,Care,label,0,2.9987349779676813,2.998734639847038,0.9911986234107255,5,False,False,,True,,,label,0,,,1fe426dc82b973a8,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,8,Care,label,0,3.0364528791527765,3.0364524189000295,0.990888599277492,5,False,False,,True,,,label,0,,,706f3972748399bc,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,9,Care,label,0,2.2712374426500146,2.271236537142578,0.989445436583568,5,False,False,,True,,,label,0,,,3890a213cc933cad,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,10,Care,label,0,2.8727368129088133,2.8727360797670194,0.9840668548048801,5,False,False,,True,,,label,0,,,0fd683ed20bb6ac5,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,11,Care,label,0,3.497575873503462,3.4975754816497755,0.9954089435194944,5,False,False,,True,,,label,0,,,d4bb3aae295025d7,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,12,Care,label,0,2.3221363582712855,2.3221356213397097,0.9863622953810254,5,False,False,,True,,,label,0,,,81561e7177a4e54a,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,13,Care,label,0,2.316102670698562,2.316102252657472,0.9826625025685641,5,False,False,,True,,,label,0,,,8eb3a30665be02a2,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,14,Care,label,0,2.1030022302487854,2.1030004752633404,0.9805509266667711,5,False,False,,True,,,label,0,,,b4aec18bf6f5051e,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,15,Care,label,0,1.9375507472867872,1.9375502076846867,0.9822238092892912,5,False,False,,True,,,label,0,,,5c1b5e3e595ef0ee,
tiiuae/Falcon3-7B-Instruct,1e57a0ecd176c7c139f289c60a74e57f887c3dfb,v2,16,Care,label,0,2.550682468317559,2.550680992385571,0.9836089406904036,5,False,False,,True,,,label,0,,,95504516f123c9d8,
