model,family,revision,item_id,foundation,condition,score,score_se,n_replicates,clifford_wrong_mean,logprob_mass,label_position,parse_strategy,token_boundary_clean,failure_type,cell_parse_rate,excluded,exclusion_reason
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,1,Care,cloze,2.9970234129817066,,1,3.4,0.01257370346707866,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,1,Care,greedy,4.0,,1,3.4,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,1,Care,label,3.998313421872167,,1,3.4,0.9282058748824867,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,1,Care,sampled,4.0,0.0,10,3.4,nan,,anchored,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,1,Care,string_bare,3.891062186247854,,1,3.4,0.0004981704825050253,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,1,Care,string_line,3.9985049202858365,,1,3.4,0.9277005852688681,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,2,Care,cloze,2.231396328388512,,1,2.4,0.0007525799222040607,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,2,Care,greedy,2.0,,1,2.4,nan,,scan,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,2,Care,label,1.2004564414925782,,1,2.4,0.4289774654797856,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,2,Care,sampled,2.4285714285714284,0.42857142857142855,7,2.4,nan,,scan,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,2,Care,string_bare,0.01803563034357784,,1,2.4,0.09286855081715803,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,2,Care,string_line,1.2013855663587654,,1,2.4,0.4284237094756171,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,3,Care,cloze,2.9754901092609396,,1,3.0,0.000991939729871744,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,3,Care,greedy,4.0,,1,3.0,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,3,Care,label,3.9971373259373455,,1,3.0,0.947099572150608,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,3,Care,sampled,4.0,0.0,9,3.0,nan,,anchored,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,3,Care,string_bare,3.1721031588059474,,1,3.0,5.833358332865961e-05,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,3,Care,string_line,3.9971503266923163,,1,3.0,0.9468458848433012,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,4,Care,cloze,1.3165141236104125,,1,3.0,0.0008318775049132831,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,4,Care,greedy,2.0,,1,3.0,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,4,Care,label,2.005668451327036,,1,3.0,0.8247275289396373,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,4,Care,sampled,2.0,0.21081851067789192,10,3.0,nan,,anchored,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,4,Care,string_bare,1.003455344256914,,1,3.0,0.001380403138397623,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,4,Care,string_line,2.005706240067104,,1,3.0,0.8245363304551278,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,5,Care,cloze,2.995755013318079,,1,3.3,0.017496068510608878,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,5,Care,greedy,3.0,,1,3.3,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,5,Care,label,3.2778737586164275,,1,3.3,0.8138131690556202,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,5,Care,sampled,3.25,0.16366341767699427,8,3.3,nan,,none,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,5,Care,string_bare,2.6773721107525166,,1,3.3,0.0001506397598895731,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,5,Care,string_line,3.277886908534839,,1,3.3,0.8136980526497146,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,6,Care,cloze,2.9568607640528684,,1,2.9,0.0008267865491607734,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,6,Care,greedy,2.0,,1,2.9,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,6,Care,label,1.968457995347435,,1,2.9,0.5615428907700709,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,6,Care,sampled,1.4,0.3711842908553348,10,2.9,nan,,scan,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,6,Care,string_bare,0.004365882255780157,,1,2.9,0.009272141466489785,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,6,Care,string_line,1.9684897398703878,,1,2.9,0.5610508287568267,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,7,Care,cloze,2.9705817047306606,,1,3.4,0.010069569415212896,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,7,Care,greedy,3.0,,1,3.4,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,7,Care,label,2.9719479511372544,,1,3.4,0.8853641707113271,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,7,Care,sampled,2.6,0.3711842908553348,10,3.4,nan,,scan,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,7,Care,string_bare,1.092136862210971,,1,3.4,0.00023363883212238943,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,7,Care,string_line,2.9719608690049837,,1,3.4,0.8850946517857549,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,8,Care,cloze,2.99684379970046,,1,2.8,0.006519889931016266,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,8,Care,greedy,4.0,,1,2.8,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,8,Care,label,3.999357289571679,,1,2.8,0.9493403335660464,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,8,Care,sampled,4.0,0.0,10,2.8,nan,,anchored,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,8,Care,string_bare,3.6123414967062817,,1,2.8,0.00020610553069646333,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,8,Care,string_line,3.9993681328331823,,1,2.8,0.9491505805740367,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,9,Care,cloze,2.6211914755888466,,1,2.0,0.001308350970822814,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,9,Care,greedy,2.0,,1,2.0,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,9,Care,label,1.82683079669111,,1,2.0,0.8104000780324185,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,9,Care,sampled,1.6,0.30550504633038933,10,2.0,nan,,anchored,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,9,Care,string_bare,0.13468112220891798,,1,2.0,0.0020888000060281684,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,9,Care,string_line,1.8268601035689696,,1,2.0,0.8098551985170589,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,10,Care,cloze,2.94959611206308,,1,2.2,0.004902094208715257,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,10,Care,greedy,3.0,,1,2.2,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,10,Care,label,2.8875860301836744,,1,2.2,0.8305012752722322,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,10,Care,sampled,2.8,0.19999999999999998,10,2.2,nan,,anchored,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,10,Care,string_bare,2.3235969078424525,,1,2.2,0.00018353906202477703,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,10,Care,string_line,2.88759325453716,,1,2.2,0.8303577665275901,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,11,Care,cloze,2.922870824337324,,1,3.5,0.011143236070866046,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,11,Care,greedy,4.0,,1,3.5,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,11,Care,label,3.9985934941485475,,1,3.5,0.9558867078141076,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,11,Care,sampled,4.0,0.0,10,3.5,nan,,anchored,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,11,Care,string_bare,3.5375311704199466,,1,3.5,0.00020212441362274234,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,11,Care,string_line,3.99863358511452,,1,3.5,0.9555360933986498,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,12,Care,cloze,2.9881972526426552,,1,2.4,0.006296308641254254,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,12,Care,greedy,4.0,,1,2.4,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,12,Care,label,3.7740002115037887,,1,2.4,0.8550631575627197,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,12,Care,sampled,3.3,0.3958114029012639,10,2.4,nan,,scan,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,12,Care,string_bare,3.0419581658298345,,1,2.4,0.0001329796169710443,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,12,Care,string_line,3.773940460631378,,1,2.4,0.8545928788220689,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,13,Care,cloze,2.895711556688517,,1,1.9,0.00325896764413232,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,13,Care,greedy,2.0,,1,1.9,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,13,Care,label,2.0191754243289934,,1,1.9,0.768087338605764,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,13,Care,sampled,2.0,0.0,9,1.9,nan,,anchored,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,13,Care,string_bare,0.9716264336769753,,1,1.9,0.001382764447658913,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,13,Care,string_line,2.019212561280824,,1,1.9,0.7679131431029548,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,14,Care,cloze,2.990743710604091,,1,2.0,0.013097097868730579,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,14,Care,greedy,2.0,,1,2.0,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,14,Care,label,2.117791537825791,,1,2.0,0.8354788685644556,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,14,Care,sampled,2.1,0.09999999999999999,10,2.0,nan,,anchored,,ok,0.9437,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,14,Care,string_bare,0.3019493374557847,,1,2.0,5.381929979388915e-05,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,14,Care,string_line,2.1177995148592594,,1,2.0,0.8353787987930926,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,15,Care,cloze,2.970139854353051,,1,1.4,0.005175323049200019,,,True,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,15,Care,greedy,2.0,,1,1.4,nan,,anchored,,ok,1.0,False,
01-ai/Yi-1.5-9B-Chat,yi,1a0fc698cf883c4f5c325f026ca79f0ebd9955a5,15,Care,label,1.943948512441014,,1,1.4,0.7604474079111446,,,True,ok,1.0,False,
