model,revision,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,seed,prompt_sha,raw_output
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,1,Care,label,0,2.4725039465869143,,0.47368370706767354,5,False,False,,,40,,14177452b5bf66ff,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,2,Care,label,0,2.0849405964945995,,0.2420980300585123,5,False,False,,,40,,d35fe8175527d70d,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,3,Care,label,0,2.482810937000169,,0.07465265153816635,5,False,False,,,40,,1ea3cce90929b905,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,4,Care,label,0,1.985481132606642,,0.4364211311086178,5,False,False,,,40,,9234e2f73ed0e710,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,5,Care,label,0,2.1944060962825165,,0.17457108758452317,5,False,False,,,40,,17c9279bcef36087,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,6,Care,label,0,2.075404537653552,,0.05268233111642402,5,False,False,,,40,,06bc6f05164ac49e,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,7,Care,label,0,1.8971911374306336,,0.1520632063539423,5,False,False,,,40,,cd34a96021953a77,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,8,Care,label,0,2.4104217782647694,,0.2717290564885998,5,False,False,,,40,,d57e75fa90b6c6af,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,9,Care,label,0,2.7897306816503336,,0.14033949936235005,5,False,False,,,40,,03e2b9cf0ead7dc6,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,10,Care,label,0,2.3593875780698985,,0.15435238113528807,5,False,False,,,40,,fd1ef8ea8bbce17a,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,11,Care,label,0,2.0535155719762517,,0.41039270135641404,5,False,False,,,40,,1f0f3e4bad0129d8,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,12,Care,label,0,1.766755418296719,,0.4790398599425865,5,False,False,,,40,,69f6477cd0d597d6,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,13,Care,label,0,2.0,,0.4875051693764109,5,False,False,,,40,,6c883d528de18cd7,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,14,Care,label,0,1.947324300415712,,0.10303275345486212,5,False,False,,,40,,c485c4688ddcb6fd,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,15,Care,label,0,2.2261866978469764,,0.22485703791056222,5,False,False,,,40,,1d5d32ff31e3b33e,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,16,Care,label,0,2.4039676975930866,,0.16131778083268433,5,False,False,,,40,,d9f8f65ef86049b0,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,17,Fairness,label,0,2.1583436690769386,,0.45562055266989687,5,False,False,,,40,,f0af6f2100fe3b8d,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,18,Fairness,label,0,2.1279781912655937,,0.33817017647456205,5,False,False,,,40,,7921ba1665b5806d,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,19,Fairness,label,0,1.80391598660406,,0.22396465262648457,5,False,False,,,40,,748d0cf0b923f91a,I
meta-llama/Llama-3.2-1B-Instruct,9213176726f574b556790deb65791e0c5aa438b6,20,Fairness,label,0,1.4766972468677586,,0.117194082413615,5,False,False,,,40,,3c5935e9759f53ee,I
