model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,1,Care,label,0,3.1291275856473413,3.1291284102184123,0.9937618506975012,5,False,False,,True,,,label,0,,,7ce2a5a3c335cd9e,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,2,Care,label,0,2.629694666777376,2.6296931144816904,0.9948555694372129,5,False,False,,True,,,label,0,,,948825baa0611907,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,3,Care,label,0,3.922954643208422,3.922954945038492,0.9947736739285484,5,False,False,,True,,,label,0,,,b439a6e5085e74bd,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,4,Care,label,0,1.698778342198111,1.6987786975483259,0.9921176922634727,5,False,False,,True,,,label,0,,,84e383dfea0ed235,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,5,Care,label,0,3.4097761600393213,3.4097824313167084,0.9883801548384737,5,False,False,,True,,,label,0,,,0c1fae4cb6699a7a,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,6,Care,label,0,0.30275652537084097,0.30275757011392723,0.9975966387823857,5,False,False,,True,,,label,0,,,e1891691d045b8a9,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,7,Care,label,0,3.5475243124563693,3.54751849610101,0.9915128134241145,5,False,False,,True,,,label,0,,,8803f30088096bc8,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,8,Care,label,0,3.9283808697914733,3.9283803243573265,0.9956540400094099,5,False,False,,True,,,label,0,,,8ac5c22862386cdb,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,9,Care,label,0,2.1631899153994514,2.163188078275778,0.9954413561489985,5,False,False,,True,,,label,0,,,3ae6be21f83be201,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,10,Care,label,0,1.4130811157936056,1.413079480513629,0.996851653143444,5,False,False,,True,,,label,0,,,1777bffc2a72755b,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,11,Care,label,0,3.9511721251687897,3.9511708671244943,0.9953881409793207,5,False,False,,True,,,label,0,,,d35486a17cd7d754,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,12,Care,label,0,1.5620565498431578,1.5620562047853475,0.9927749907974377,5,False,False,,True,,,label,0,,,398ccdceced047f8,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,13,Care,label,0,1.3752242030009423,1.37522415283999,0.9944549711254107,5,False,False,,True,,,label,0,,,3eb3e61158e2d77f,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,14,Care,label,0,2.1772482321629627,2.1772475162025398,0.9967155826214902,5,False,False,,True,,,label,0,,,fcd0cd7721eb4b7a,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,15,Care,label,0,1.3962215338250985,1.3962221767901128,0.9940621851011314,5,False,False,,True,,,label,0,,,b4b974f3b003cb50,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,16,Care,label,0,2.79863831707968,2.798634135144075,0.9925857205808362,5,False,False,,True,,,label,0,,,88fe46ff47ea06bc,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,17,Fairness,label,0,3.1120408313065675,3.11204009860716,0.9926050174974967,5,False,False,,True,,,label,0,,,2683f2cd7ec579da,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,18,Fairness,label,0,2.900693265383649,2.9006919823293322,0.9923704452413341,5,False,False,,True,,,label,0,,,f4860f9e84eb7a13,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,19,Fairness,label,0,2.8454996431767596,2.845499450069658,0.9929028649787959,5,False,False,,True,,,label,0,,,82a757176c07852e,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,20,Fairness,label,0,3.5804004670898104,3.580404731275073,0.994188504171576,5,False,False,,True,,,label,0,,,ff98366118259f40,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,21,Fairness,label,0,3.1849062746713765,3.1849067180234902,0.9947647342414124,5,False,False,,True,,,label,0,,,f10093f8228cba49,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,22,Fairness,label,0,3.9954188753638,3.9954188555479906,0.9929912811493719,5,False,False,,True,,,label,0,,,8a96ec69ddf40b83,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,23,Fairness,label,0,3.9954822698617156,3.9954822541061072,0.9948549301817434,5,False,False,,True,,,label,0,,,0a578d06ed7a7e99,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,24,Fairness,label,0,3.5758445870430324,3.5758443722192044,0.9925593882528337,5,False,False,,True,,,label,0,,,740f65a030af7744,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,25,Fairness,label,0,3.9452137762002057,3.9452139256672814,0.995900208767323,5,False,False,,True,,,label,0,,,e317c498382c09f0,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,26,Fairness,label,0,3.9545488940198386,3.9545487571257216,0.9941942898172677,5,False,False,,True,,,label,0,,,cd9fadea460a0be4,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,27,Fairness,label,0,3.518284133950892,3.518287849496549,0.9937263530143692,5,False,False,,True,,,label,0,,,13e11526352ec13f,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,28,Fairness,label,0,3.7529439882078,3.752942084085351,0.9934023006295483,5,False,False,,True,,,label,0,,,cf2e92f513161bc7,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,29,Fairness,label,0,1.2663880740634814,1.2663887767273407,0.9946447754170545,5,False,False,,True,,,label,0,,,0c52b6e0341c2f28,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,30,Fairness,label,0,3.543208965940767,3.5432107932296533,0.9919833856145609,5,False,False,,True,,,label,0,,,1e3f840aa3b74d0a,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,31,Fairness,label,0,3.960672323564901,3.96067243522117,0.9943811403254703,5,False,False,,True,,,label,0,,,528fc29369dcc17f,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,32,Fairness,label,0,2.027284217539664,2.0272831694315108,0.9940335993096944,5,False,False,,True,,,label,0,,,fb5b535615b65f41,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,33,Fairness,label,0,1.9765238713912905,1.9765211870999762,0.9964739425892617,5,False,False,,True,,,label,0,,,e5641c171a747357,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,34,Loyalty,label,0,1.921250579756775,1.921250759075572,0.9944933170343476,5,False,False,,True,,,label,0,,,261a95b13e576956,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,35,Loyalty,label,0,0.19232321022457347,0.1923237250418131,0.9981512980406919,5,False,False,,True,,,label,0,,,86934b71d5eb3afb,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,36,Loyalty,label,0,2.842801143817859,2.8428016709958825,0.9951489535687748,5,False,False,,True,,,label,0,,,1adc8eab3d795ff4,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,37,Loyalty,label,0,1.308779378933709,1.3087793365213845,0.9964306034013324,5,False,False,,True,,,label,0,,,bdfd38d753b01a2c,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,38,Loyalty,label,0,1.6673203304895237,1.6673198740832424,0.9956140157585298,5,False,False,,True,,,label,0,,,1dbd450b30969da5,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,39,Loyalty,label,0,2.1252880193951125,2.125288164716177,0.9935122452556948,5,False,False,,True,,,label,0,,,d527b2793a01af13,
ibm-granite/granite-3.1-8b-instruct,4009206d5fc95d2e65a7b7633e159d6e97e25d35,v2,40,Loyalty,label,0,0.4802370334307682,0.48023797804596574,0.997404860339533,5,False,False,,True,,,label,0,,,7a6733b83ea3e45d,
