model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,1,Care,label,0,3.3088516821144753,3.1664497123226365,0.4373814031305187,5,False,False,,True,,,label,0,,,bbb0fb9221ec85d2,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,2,Care,label,0,2.112229215973032,2.1107486021237976,0.3891850185089212,5,False,False,,True,,,label,0,,,f84b1afe53bdc797,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,3,Care,label,0,2.833672065869179,2.730690087760068,0.4567911355192368,5,False,False,,True,,,label,0,,,c6279c6c4b85687f,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,4,Care,label,0,2.606538622181808,2.5278911093013092,0.4206366605669549,5,False,False,,True,,,label,0,,,6372bac9c21722cc,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,5,Care,label,0,3.1447412595505346,3.0495721774334483,0.4780360915380422,5,False,False,,True,,,label,0,,,c1788f291dce7241,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,6,Care,label,0,1.817004893010601,1.8478839693684423,0.35817049367074133,5,False,False,,True,,,label,0,,,9b89debcaf32de8a,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,7,Care,label,0,2.9373828147325933,2.803793948345973,0.44824349471161457,5,False,False,,True,,,label,0,,,981264b38e7fd95c,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,8,Care,label,0,3.12719057619977,3.02654964473359,0.4914499894312143,5,False,False,,True,,,label,0,,,024c154729c38f50,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,9,Care,label,0,2.6022206204507534,2.520564881722608,0.41551914360419595,5,False,False,,True,,,label,0,,,cdb718f35a0ef7dc,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,10,Care,label,0,2.6131931418516348,2.548357958597215,0.4080862083111456,5,False,False,,True,,,label,0,,,cccde8a093064e58,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,11,Care,label,0,3.0345612649078433,2.89739849647052,0.49304472393857574,5,False,False,,True,,,label,0,,,54e27849987a0722,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,12,Care,label,0,2.8034032264016986,2.7074902605430866,0.42865673800720894,5,False,False,,True,,,label,0,,,4ed58206ac552531,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,13,Care,label,0,2.612592856694359,2.5265854872575964,0.44316119893834505,5,False,False,,True,,,label,0,,,77d7fe1ad4d67533,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,14,Care,label,0,2.2182106024163013,2.1691017282486746,0.3743684175444983,5,False,False,,True,,,label,0,,,ae327dccefd74bb9,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,15,Care,label,0,2.457806570558169,2.4324549589497995,0.4222239814984232,5,False,False,,True,,,label,0,,,a22be2315a093d2e,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,16,Care,label,0,2.5722463341119783,2.5197980781836855,0.4498027914733813,5,False,False,,True,,,label,0,,,5fea24ed91ecd8c0,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,17,Fairness,label,0,3.0030380297611132,2.902987997544961,0.4773267335675758,5,False,False,,True,,,label,0,,,fbb6d4200856152a,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,18,Fairness,label,0,2.8510459693494092,2.746343415071867,0.47729862280728275,5,False,False,,True,,,label,0,,,47f848274ac0d191,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,19,Fairness,label,0,2.912408076084293,2.8370177634488343,0.44736296866092423,5,False,False,,True,,,label,0,,,0ebf87d55515413a,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,20,Fairness,label,0,2.4653123754449355,2.4054738933311897,0.41701800665194716,5,False,False,,True,,,label,0,,,c875f8564da6ec6c,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,21,Fairness,label,0,2.8254070117630325,2.742362007893624,0.41748559728423945,5,False,False,,True,,,label,0,,,e7efac1cf1c50bef,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,22,Fairness,label,0,3.0097241233054235,2.8625133162194563,0.4813827763989321,5,False,False,,True,,,label,0,,,c90b37ebfd1cefd7,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,23,Fairness,label,0,3.1306108375701545,3.003408123736177,0.4979920876208066,5,False,False,,True,,,label,0,,,01a4a36a3c1f41ac,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,24,Fairness,label,0,2.8461199765243603,2.758635616894923,0.48859929491854914,5,False,False,,True,,,label,0,,,5ba3d3b877305ea3,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,25,Fairness,label,0,2.858810480781012,2.7384625562058416,0.4538033767595261,5,False,False,,True,,,label,0,,,9f4615b83639bacc,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,26,Fairness,label,0,2.523197670739032,2.4569964063294525,0.45064023801643743,5,False,False,,True,,,label,0,,,dbfac1f48902e36f,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,27,Fairness,label,0,2.8169029460820516,2.725770093570208,0.4831079758643384,5,False,False,,True,,,label,0,,,9b8b31b6c71c85cc,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,28,Fairness,label,0,3.1064803908499647,2.990458109703881,0.4602428514558166,5,False,False,,True,,,label,0,,,0b91943257d28694,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,29,Fairness,label,0,2.1409862363375636,2.142706493178226,0.41821963510746696,5,False,False,,True,,,label,0,,,15a8ad610710b86c,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,30,Fairness,label,0,2.873465621925678,2.7809986706785383,0.45277006021663907,5,False,False,,True,,,label,0,,,5939a81bcdcaaf67,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,31,Fairness,label,0,2.851777534531055,2.749414593021067,0.4219300769652235,5,False,False,,True,,,label,0,,,5f3f6d79b2b80cdf,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,32,Fairness,label,0,2.369897958479395,2.3464988898022363,0.39995750388704326,5,False,False,,True,,,label,0,,,5a96d4afe92d65a6,
mistralai/Ministral-8B-Instruct-2410,2f494a194c5b980dfb9772cb92d26cbb671fce5a,v2,33,Fairness,label,0,2.5760667235047228,2.5051420157251583,0.42614178576716955,5,False,False,,True,,,label,0,,,905c623454dc847d,
