model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,1,Care,label,0,3.9367734444556874,3.8607032564899675,0.01249547713460589,5,False,False,,True,,,label,0,,,93f25ea6e942697c,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,2,Care,label,0,2.428979285119771,2.3771547484303928,0.007373491545207984,5,False,False,,True,,,label,0,,,5a6e631637b72bb7,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,3,Care,label,0,3.752895242273436,3.541294070408105,0.008053593983529181,5,False,False,,True,,,label,0,,,a8611d19482c646b,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,4,Care,label,0,3.3644161719307615,3.0284930287703187,0.008519791064958518,5,False,False,,True,,,label,0,,,6fd0b55f7954e53f,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,5,Care,label,0,3.723229693384477,3.3136269746217764,0.008995845556435428,5,False,False,,True,,,label,0,,,f5508fe8c800074f,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,6,Care,label,0,1.7608096441176209,1.8828960562040762,0.014875048421240518,5,False,False,,True,,,label,0,,,fa5302ef7675d4ce,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,7,Care,label,0,3.9116291680445054,3.8322313977390787,0.009717628284242606,5,False,False,,True,,,label,0,,,3ce23ff4a0fcd362,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,8,Care,label,0,3.6139420410785057,3.299308887241479,0.012373102039771895,5,False,False,,True,,,label,0,,,66814be2fffa3dec,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,9,Care,label,0,3.608094171994291,3.310737789870824,0.014665123093486271,5,False,False,,True,,,label,0,,,f70c75fc6d93ae22,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,10,Care,label,0,3.4014943978883188,3.1559846896256265,0.008122001360318962,5,False,False,,True,,,label,0,,,2e8ad1734bd89962,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,11,Care,label,0,3.935812610596851,3.867304550195402,0.011633019861810721,5,False,False,,True,,,label,0,,,8806fade01a6985c,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,12,Care,label,0,3.589738030989497,3.393856225595735,0.00854158631178035,5,False,False,,True,,,label,0,,,9e4257edcf50a02b,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,13,Care,label,0,3.2352820146635075,3.0112846920032,0.006621571594316238,5,False,False,,True,,,label,0,,,ec27b76fd6497aa8,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,14,Care,label,0,2.866182671278904,2.628493614263165,0.008722189881677368,5,False,False,,True,,,label,0,,,2c973b2c4a1bae7d,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,15,Care,label,0,3.0699771603472152,2.7586197315975163,0.007537712276063225,5,False,False,,True,,,label,0,,,1bca23c2e566413b,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,16,Care,label,0,3.698794712152475,3.4953375253202292,0.007698038764520323,5,False,False,,True,,,label,0,,,91a6941f110cfcdc,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,17,Fairness,label,0,3.875820321694943,3.714638064802828,0.007319541320483306,5,False,False,,True,,,label,0,,,0b9e10a75e903b6f,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,18,Fairness,label,0,3.7992628985764294,3.5846832926505345,0.009061333311052975,5,False,False,,True,,,label,0,,,03c4e34ae2e25472,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,19,Fairness,label,0,3.590811185098891,3.3973296298989166,0.012991290424190286,5,False,False,,True,,,label,0,,,1965ea9333ba953a,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,20,Fairness,label,0,2.52420242058716,2.3899760746891205,0.005546544368132098,5,False,False,,True,,,label,0,,,79e1e0551bcd6f26,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,21,Fairness,label,0,3.149447480685301,2.9766600775376864,0.004382046343429339,5,False,False,,True,,,label,0,,,10185e3daf883ac0,
mistralai/Mistral-7B-Instruct-v0.3,c170c708c41dac9275d15a8fff4eca08d52bab71,v2,22,Fairness,label,0,3.908453441833308,3.832198056982729,0.008168742726802354,5,False,False,,True,,,label,0,,,8d24237579b0d179,
