model,revision,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,seed,prompt_sha,raw_output
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,1,Care,label,0,1.77938815471162,,0.9989771002405947,5,False,False,,,17,,add09e54f847dca8,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,2,Care,label,0,1.8605564583860799,,0.9981042385317453,5,False,False,,,17,,d02b48f484c9fd49,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,3,Care,label,0,1.7721718522421501,,0.9991437213914395,5,False,False,,,17,,e77c696dedb9b296,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,4,Care,label,0,1.7919216351974931,,0.9993511381045306,5,False,False,,,17,,dadf494a191d2f13,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,5,Care,label,0,1.7961817916347609,,0.9990874733125252,5,False,False,,,17,,0b9923ec57337d19,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,6,Care,label,0,1.7586767951145414,,0.999130085197237,5,False,False,,,17,,790adece3c4da7ab,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,7,Care,label,0,1.8441784531713883,,0.9990073016929533,5,False,False,,,17,,345d14a786ab109a,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,8,Care,label,0,1.8264461793828788,,0.998903693831435,5,False,False,,,17,,5be4a442bb5edd86,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,9,Care,label,0,2.0805234209046013,,0.9987432175623576,5,False,False,,,17,,e7ce26205a7890a7,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,10,Care,label,0,1.8422248141030892,,0.9991346641423701,5,False,False,,,17,,7373d2cc4d2c27d7,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,11,Care,label,0,1.9442427016676884,,0.998853607036677,5,False,False,,,17,,15c66492ec351920,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,12,Care,label,0,1.7425100417734607,,0.9990506334233852,5,False,False,,,17,,96a5e8d58cc271a5,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,13,Care,label,0,1.629655407622381,,0.9992185517950662,5,False,False,,,16,,385dff2177d66657,1
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,14,Care,label,0,1.842472592351179,,0.9989761562901492,5,False,False,,,17,,bbb67b2a11cd6d48,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,15,Care,label,0,1.9692545157277954,,0.9993987863831943,5,False,False,,,17,,b5ac1afe2446645a,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,16,Care,label,0,1.6682373976260267,,0.9990435038908423,5,False,False,,,17,,74dd84997245ee1f,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,17,Fairness,label,0,1.9133979165878898,,0.99797215796474,5,False,False,,,17,,081bbdeb27c9d9ba,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,18,Fairness,label,0,1.986813356506251,,0.9981131462820304,5,False,False,,,17,,8f864c44ad7b8898,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,19,Fairness,label,0,2.1397951850911316,,0.9978805092163934,5,False,False,,,17,,c3b9a40c082b9de1,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,20,Fairness,label,0,1.785668919914184,,0.9985124208677139,5,False,False,,,16,,3918ce1d488b140f,1
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,21,Fairness,label,0,1.918693696100069,,0.9992692757692454,5,False,False,,,17,,e7dbcc1c43407f04,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,22,Fairness,label,0,2.0551484856501747,,0.9992230170558517,5,False,False,,,17,,c11a4afee3b09914,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,23,Fairness,label,0,2.471535539437149,,0.9971492780526968,5,False,False,,,17,,4db4f9d71823acc3,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,24,Fairness,label,0,2.0534876291032305,,0.9989635183874904,5,False,False,,,17,,42f0ae82fc584562,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,25,Fairness,label,0,2.096745110265199,,0.9991368314059879,5,False,False,,,17,,6f98b76fa9e2e97c,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,26,Fairness,label,0,1.8041439712355345,,0.9994972509314307,5,False,False,,,17,,1aee3ca950d4a6e4,2
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,27,Fairness,label,0,1.6373935836785438,,0.9990279646389431,5,False,False,,,16,,ade18057e1400d65,1
Qwen/Qwen2.5-0.5B-Instruct,7ae557604adf67be50417f59c2c2f167def9a775,28,Fairness,label,0,1.938502357342739,,0.9991433355832823,5,False,False,,,17,,b4e9ce6e709fa91c,2
