model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
HuggingFaceH4/zephyr-7b-beta,892b3d7a7b1cf10c7a701c60881cd93df615734c,v2,1,Care,label,0,3.2028758423593415,3.202873435405209,0.013572144624545177,5,False,False,,True,,,label,0,,,9e032686371353c9,
HuggingFaceH4/zephyr-7b-beta,892b3d7a7b1cf10c7a701c60881cd93df615734c,v2,2,Care,label,0,2.188643744528669,2.1886081686490666,0.13022179517051746,5,False,False,,True,,,label,0,,,4695aeb7362ccd59,
HuggingFaceH4/zephyr-7b-beta,892b3d7a7b1cf10c7a701c60881cd93df615734c,v2,3,Care,label,0,3.0202636920167967,3.020263529427647,0.06254585183965257,5,False,False,,True,,,label,0,,,9c6f73ef28f1d8f1,
HuggingFaceH4/zephyr-7b-beta,892b3d7a7b1cf10c7a701c60881cd93df615734c,v2,4,Care,label,0,1.8502878957590396,1.8502531180601127,0.06792554357242096,5,False,False,,True,,,label,0,,,2daa03ed57b87a32,
HuggingFaceH4/zephyr-7b-beta,892b3d7a7b1cf10c7a701c60881cd93df615734c,v2,5,Care,label,0,3.959348805402717,3.9593538295207353,0.07054146169709305,5,False,False,,True,,,label,0,,,f51dcef5e90e3ca7,
HuggingFaceH4/zephyr-7b-beta,892b3d7a7b1cf10c7a701c60881cd93df615734c,v2,6,Care,label,0,1.9752411339666738,1.975240223465815,0.46232101807468473,5,False,False,,True,,,label,0,,,997db231c01b601b,
HuggingFaceH4/zephyr-7b-beta,892b3d7a7b1cf10c7a701c60881cd93df615734c,v2,7,Care,label,0,3.040959815211423,3.04095901418087,0.028988610592499468,5,False,False,,True,,,label,0,,,007954590d15f110,
HuggingFaceH4/zephyr-7b-beta,892b3d7a7b1cf10c7a701c60881cd93df615734c,v2,8,Care,label,0,2.9989220468083815,2.9989220291378613,0.14802147768479484,5,False,False,,True,,,label,0,,,17bf4841bc40e258,
HuggingFaceH4/zephyr-7b-beta,892b3d7a7b1cf10c7a701c60881cd93df615734c,v2,9,Care,label,0,2.999180267977212,2.99918024120237,0.07830131045034057,5,False,False,,True,,,label,0,,,0bd67c725ba96f5b,
HuggingFaceH4/zephyr-7b-beta,892b3d7a7b1cf10c7a701c60881cd93df615734c,v2,10,Care,label,0,2.9525347972941796,2.9525336188518456,0.09238894445636922,5,False,False,,True,,,label,0,,,b8a7acff58d36723,
