model,revision,harness,item_id,foundation,condition,replicate,score,score_alt_normalisation,logprob_mass,n_options_found,refusal,parse_failed,parse_strategy,token_boundary_clean,emitted_token_id,label_position,surface_form,boundary_shift,degenerate_options,seed,prompt_sha,raw_output
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,1,Care,label,0,3.434883230858981,3.434883230858981,0.9949694424728369,5,False,False,,True,,,label,0,,,8a756e34c63ff984,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,2,Care,label,0,1.1711191499245894,1.1711191499245894,0.9626237841991674,5,False,False,,True,,,label,0,,,c37c3c695a1335ff,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,3,Care,label,0,3.2623720050243765,3.2623720050243765,0.9927446910830214,5,False,False,,True,,,label,0,,,745ff084e0862c94,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,4,Care,label,0,2.5853804096531214,2.5853804096531214,0.975551316299922,5,False,False,,True,,,label,0,,,46583b61969ff440,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,5,Care,label,0,3.3125525335351265,3.3125525335351265,0.9942794982658052,5,False,False,,True,,,label,0,,,97a72dcc94b719b7,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,6,Care,label,0,1.0318926163378759,1.0318926163378759,0.9585728018730442,5,False,False,,True,,,label,0,,,cf4be5f36871b5f9,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,7,Care,label,0,3.1849117919251304,3.1849117919251304,0.9887160913216743,5,False,False,,True,,,label,0,,,50304a9c4bbebb46,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,8,Care,label,0,3.3103852850240694,3.3103852850240694,0.9943574092984291,5,False,False,,True,,,label,0,,,5d853a1469206392,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,9,Care,label,0,3.1642096303241156,3.1642096303241156,0.9909981547506499,5,False,False,,True,,,label,0,,,c4fb8bdb793fb5d0,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,10,Care,label,0,3.2117719644770077,3.2117719644770077,0.9937723869821241,5,False,False,,True,,,label,0,,,76afc26183412454,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,11,Care,label,0,3.622156328676558,3.622156328676558,0.9967140728929367,5,False,False,,True,,,label,0,,,0225af04633f92ec,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,12,Care,label,0,2.937306905934198,2.937306905934198,0.9890018676976372,5,False,False,,True,,,label,0,,,1c672ae9ccdaa427,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,13,Care,label,0,3.1770040774977537,3.1770040774977537,0.9957564393991918,5,False,False,,True,,,label,0,,,6a7a5d1330637cb2,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,14,Care,label,0,2.6610716072187217,2.6610716072187217,0.972106299235166,5,False,False,,True,,,label,0,,,1e3d4feb40fe55ed,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,15,Care,label,0,2.740881438433371,2.740881438433371,0.9624383679563175,5,False,False,,True,,,label,0,,,fd463d2673099bfb,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,16,Care,label,0,2.586707706398735,2.586707706398735,0.9588404829845114,5,False,False,,True,,,label,0,,,443981e72c79ed69,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,17,Fairness,label,0,3.6220973046469167,3.6220973046469167,0.996808689784489,5,False,False,,True,,,label,0,,,436466d7f2295cc8,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,18,Fairness,label,0,2.994938167826216,2.994938167826216,0.9814757023171491,5,False,False,,True,,,label,0,,,31a6f5c3bf59a70b,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,19,Fairness,label,0,3.266989865657138,3.266989865657138,0.9953415686748238,5,False,False,,True,,,label,0,,,5a6d49e9a51503e0,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,20,Fairness,label,0,2.316531597935857,2.316531597935857,0.9549603105047155,5,False,False,,True,,,label,0,,,7f5a7c010a94a183,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,21,Fairness,label,0,3.260522342375597,3.260522342375597,0.9895447443595036,5,False,False,,True,,,label,0,,,af371b60dcf9d22a,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,22,Fairness,label,0,3.562015908853207,3.562015908853207,0.9981872525096155,5,False,False,,True,,,label,0,,,bd318eafafe3a236,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,23,Fairness,label,0,3.851732628868033,3.851732628868033,0.9982431186075295,5,False,False,,True,,,label,0,,,fab4509e5893b32a,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,24,Fairness,label,0,3.1814609591560097,3.1814609591560097,0.9975570672367235,5,False,False,,True,,,label,0,,,9132b27ae8e149a9,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,25,Fairness,label,0,3.2200686824629012,3.2200686824629012,0.9959405132145928,5,False,False,,True,,,label,0,,,f8ffc28e92c0ff2e,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,26,Fairness,label,0,3.1122156995088712,3.1122156995088712,0.9953238362826338,5,False,False,,True,,,label,0,,,b098958b280549e9,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,27,Fairness,label,0,3.377082308859219,3.377082308859219,0.9961425499363274,5,False,False,,True,,,label,0,,,739acf9d8b2fe723,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,28,Fairness,label,0,3.18535725353772,3.18535725353772,0.9939672486886962,5,False,False,,True,,,label,0,,,5ff1f6c721d1fb98,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,29,Fairness,label,0,2.481822779092631,2.481822779092631,0.9580843582262059,5,False,False,,True,,,label,0,,,8fa27a902583aae8,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,30,Fairness,label,0,3.267383724276206,3.267383724276206,0.9963648937580172,5,False,False,,True,,,label,0,,,6bb7d6448c5772e9,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,31,Fairness,label,0,3.4374698779646473,3.4374698779646473,0.9963152151188077,5,False,False,,True,,,label,0,,,d601d42576e7a9cb,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,32,Fairness,label,0,2.244012214408466,2.244012214408466,0.9756976818857378,5,False,False,,True,,,label,0,,,0fdc62d771b31396,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,33,Fairness,label,0,3.1123006740074834,3.1123006740074834,0.9928573924356333,5,False,False,,True,,,label,0,,,2967701906133b8f,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,34,Loyalty,label,0,3.084148957746569,3.084148957746569,0.9913571524239824,5,False,False,,True,,,label,0,,,ff71e0212ec2be6c,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,35,Loyalty,label,0,2.992350102180846,2.992350102180846,0.9829107992072406,5,False,False,,True,,,label,0,,,6ab95769b43bcb72,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,36,Loyalty,label,0,2.9766842292988493,2.9766842292988493,0.9611154196872478,5,False,False,,True,,,label,0,,,83b4a84545674388,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,37,Loyalty,label,0,1.7466989192173281,1.7466989192173281,0.9263236748626773,5,False,False,,True,,,label,0,,,727b96d1fee5aff9,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,38,Loyalty,label,0,2.6514360187154673,2.6514360187154673,0.9503441649170731,5,False,False,,True,,,label,0,,,7a8e0025b4362c82,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,39,Loyalty,label,0,2.5164654625233456,2.5164654625233456,0.9261788390432891,5,False,False,,True,,,label,0,,,22c789a27f3de569,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,40,Loyalty,label,0,2.6923998167604926,2.6923998167604926,0.9645667067161933,5,False,False,,True,,,label,0,,,7b53df2e604177d1,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,41,Loyalty,label,0,3.318404341197041,3.318404341197041,0.9929907621030912,5,False,False,,True,,,label,0,,,300c06e2bbe17ce8,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,42,Loyalty,label,0,2.0817186821558558,2.0817186821558558,0.9311845720238022,5,False,False,,True,,,label,0,,,5f02d8b4fc1fd191,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,43,Loyalty,label,0,3.412229259222973,3.412229259222973,0.9795821766423861,5,False,False,,True,,,label,0,,,8139b290ffe5368b,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,44,Loyalty,label,0,2.3836140748430243,2.3836140748430243,0.9636315563138158,5,False,False,,True,,,label,0,,,05ec0e24eec5e393,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,45,Loyalty,label,0,3.292429730115047,3.292429730115047,0.9881582982160133,5,False,False,,True,,,label,0,,,69a2d962f633c32f,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,46,Loyalty,label,0,3.19212778047017,3.19212778047017,0.985776581565618,5,False,False,,True,,,label,0,,,05e835a378be6f95,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,47,Loyalty,label,0,2.221237463000476,2.221237463000476,0.9663830132837619,5,False,False,,True,,,label,0,,,e1a47299470fc431,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,48,Loyalty,label,0,2.316048684065477,2.316048684065477,0.8718677811246827,5,False,False,,True,,,label,0,,,39e429fa282f7711,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,49,Loyalty,label,0,2.323689360247504,2.323689360247504,0.9589616435590816,5,False,False,,True,,,label,0,,,9aa904ced28b1827,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,50,Authority,label,0,3.0137209272637153,3.0137209272637153,0.9912961314755095,5,False,False,,True,,,label,0,,,82c800ad3e52a99d,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,51,Authority,label,0,3.026206337561427,3.026206337561427,0.9779373556499665,5,False,False,,True,,,label,0,,,cad4deb57cf8b5a5,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,52,Authority,label,0,2.9328288099685236,2.9328288099685236,0.9911498917672812,5,False,False,,True,,,label,0,,,715acb9b51cbb636,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,53,Authority,label,0,3.3745089966347117,3.3745089966347117,0.9924899429261013,5,False,False,,True,,,label,0,,,ece8beb0f08baeec,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,54,Authority,label,0,2.2305161629351704,2.2305161629351704,0.9790588709650866,5,False,False,,True,,,label,0,,,4c78484c50d10874,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,55,Authority,label,0,2.2772245706190866,2.2772245706190866,0.9568436655233848,5,False,False,,True,,,label,0,,,e347a59c1dc7c420,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,56,Authority,label,0,3.220736487101339,3.220736487101339,0.9961563256433738,5,False,False,,True,,,label,0,,,a0ff2808df30107c,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,57,Authority,label,0,2.9597522937076253,2.9597522937076253,0.986182851044795,5,False,False,,True,,,label,0,,,35daaec918de4f13,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,58,Authority,label,0,3.6787389929365704,3.6787389929365704,0.9955053098236318,5,False,False,,True,,,label,0,,,fd1ebacc242f393b,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,59,Authority,label,0,3.2684651464287175,3.2684651464287175,0.9964910386624134,5,False,False,,True,,,label,0,,,5798bd94a5acc28c,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,60,Authority,label,0,3.2664829567266076,3.2664829567266076,0.994061405267145,5,False,False,,True,,,label,0,,,49d97fb60f6ba6ee,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,61,Authority,label,0,2.42787499826653,2.42787499826653,0.9554615017811768,5,False,False,,True,,,label,0,,,6362475ff9a42e26,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,62,Authority,label,0,3.1447646015122896,3.1447646015122896,0.9958396520658175,5,False,False,,True,,,label,0,,,cd42a98cc23b5211,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,63,Authority,label,0,3.0670882814715945,3.0670882814715945,0.9908038514817333,5,False,False,,True,,,label,0,,,fccf6570997e7447,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,64,Authority,label,0,2.8516826292594306,2.8516826292594306,0.9837249128216556,5,False,False,,True,,,label,0,,,ccdb659b9aa53663,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,65,Authority,label,0,1.7622840523915866,1.7622840523915866,0.9609771356100746,5,False,False,,True,,,label,0,,,7ade6afc53847b80,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,66,Authority,label,0,2.6527091628485144,2.6527091628485144,0.9709232196637655,5,False,False,,True,,,label,0,,,77739b9e497395ee,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,67,Sanctity,label,0,3.836386847250009,3.836386847250009,0.9853398103867799,5,False,False,,True,,,label,0,,,0efe2eb68f76582a,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,68,Sanctity,label,0,3.557197565574856,3.557197565574856,0.9896927221773605,5,False,False,,True,,,label,0,,,21742969fcc074b3,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,69,Sanctity,label,0,3.6200572317554216,3.6200572317554216,0.9938056811503865,5,False,False,,True,,,label,0,,,d16d09edf8acaba6,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,70,Sanctity,label,0,3.8784234799225707,3.8784234799225707,0.9953449587850624,5,False,False,,True,,,label,0,,,541c3bb2949145d6,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,71,Sanctity,label,0,3.376065631662731,3.376065631662731,0.9933145621458579,5,False,False,,True,,,label,0,,,b8c1849c31d290a7,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,72,Sanctity,label,0,3.8490358061703054,3.8490358061703054,0.9937941497581492,5,False,False,,True,,,label,0,,,5e98cb0ffcb11912,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,73,Sanctity,label,0,3.62016985857612,3.62016985857612,0.9943087498214033,5,False,False,,True,,,label,0,,,7e7de354460d94a1,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,74,Sanctity,label,0,3.69846283964791,3.69846283964791,0.9614643727255423,5,False,False,,True,,,label,0,,,07edf18f8824fae0,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,75,Sanctity,label,0,3.3578988688817017,3.3578988688817017,0.8425851167165298,5,False,False,,True,,,label,0,,,8d847f9d4d67e1a5,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,76,Sanctity,label,0,3.9027351387484988,3.9027351387484988,0.9977369681596698,5,False,False,,True,,,label,0,,,1b56144b52cc6f67,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,77,Sanctity,label,0,2.9331642336313974,2.9331642336313974,0.9499891370648615,5,False,False,,True,,,label,0,,,572a359c182ba288,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,78,Sanctity,label,0,3.5343450183034735,3.5343450183034735,0.9839123773658303,5,False,False,,True,,,label,0,,,acfda02ea9047034,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,79,Sanctity,label,0,2.523494299245329,2.523494299245329,0.9598990015146718,5,False,False,,True,,,label,0,,,11e4be113709d861,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,80,Sanctity,label,0,3.425770645863642,3.425770645863642,0.9939168717460034,5,False,False,,True,,,label,0,,,15fe404594f112b6,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,81,Sanctity,label,0,0.7732204943986756,0.7732204943986756,0.9333316049378667,5,False,False,,True,,,label,0,,,ad87628326694039,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,82,Sanctity,label,0,2.5889939874991894,2.5889939874991894,0.9036213703344906,5,False,False,,True,,,label,0,,,49de8460aadf8f84,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,83,Sanctity,label,0,3.492993884208715,3.492993884208715,0.993796112241754,5,False,False,,True,,,label,0,,,f9f633db5668cd1c,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,84,Liberty,label,0,3.069741017472698,3.069741017472698,0.9880588826462641,5,False,False,,True,,,label,0,,,686b73f4eb7664fb,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,85,Liberty,label,0,2.5192447382319325,2.5192447382319325,0.9380246106652637,5,False,False,,True,,,label,0,,,0883673ebb10bea9,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,86,Liberty,label,0,3.8805797433880094,3.8805797433880094,0.9977606775395762,5,False,False,,True,,,label,0,,,582448bebf05f867,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,87,Liberty,label,0,3.37570139106311,3.37570139106311,0.9934203129503423,5,False,False,,True,,,label,0,,,be93287af4cd3517,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,88,Liberty,label,0,3.435646752148511,3.435646752148511,0.9974194249460868,5,False,False,,True,,,label,0,,,f603b99d0626d6b3,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,89,Liberty,label,0,3.0220831003091457,3.0220831003091457,0.9777595268542726,5,False,False,,True,,,label,0,,,6add2d2d3b9285a3,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,90,Liberty,label,0,3.376611009178986,3.376611009178986,0.9970635795106224,5,False,False,,True,,,label,0,,,5c10c3854859b261,
microsoft/Phi-4-mini-instruct,cfbefacb99257ffa30c83adab238a50856ac3083,v2,91,Liberty,label,0,3.9932211276728986,3.9932211276728986,0.9989795611731076,5,False,False,,True,,,label,0,,,da51f5f7e7d5c642,
